candidates,Kabul,Kapisa,Parwan,Panjsher,Wardak,Logar,Bamyan,Daikondi,Nangerhar,Kunarha,Laghman,Nooristan,Balkh,Faryab,Jozjan,Samangan,Sar-I-Pul,Badakhshan,Baghlan,Kunduz,Takhar,Kandahar,Helmand,Neemroz,Urozgan,Zabul,Paktia,Ghazni,Paktika,Khost,Herat,Badghis,Farah,Ghor
Abdul Latif Pedram,"17,284","1,399","1,562",344,373,292,487,483,"1,137",148,270,36,"5,482","2,056","1,906",683,"1,470","33,510","4,906","5,018","13,481",922,938,228,432,165,259,"1,806",272,220,"5,371","1,515",764,"1,721"
Hamid Karzai,"332,868","36,425","32,959",367,"76,537","65,524","11,826","21,394","422,468","100,075","72,048","27,024","114,460","29,958","21,412","8,600","17,727","71,486","73,041","125,962","68,181","281,025","262,940","34,654","46,702","26,022","221,574","238,371","236,446","207,718","342,477","105,262","90,557","56,497"
Hamayon Shah Asifi,"1,443",175,285,21,149,163,270,390,"1,134",152,237,131,"1,205",621,442,230,550,"1,129","1,090","1,401","1,987","3,743",684,94,360,96,238,532,914,149,"2,549",638,406,895
Mir Mohammad Mahfouz Nedaee,"1,237",155,281,6,181,83,485,487,210,35,57,4,994,406,292,255,463,705,908,962,"1,401",281,302,39,179,42,40,669,60,33,"2,100",501,303,762
Haji Mohammad Mohaqiq,"112,448",132,"9,757",132,"41,139",705,"100,813","136,829",594,187,125,27,"55,306",528,817,"23,389","20,802","2,062","15,411","6,463","3,299","2,629","8,787",322,"4,586",104,251,"179,303",82,51,"16,095",804,483,"39,542"
Syed Ishaq Gilani,"5,197",631,"1,605",40,375,405,413,351,"1,179",221,279,348,"3,843",470,368,503,472,"1,270","2,442","2,596","2,035","3,240","2,587",151,"1,048","1,807","2,587","13,703","16,286",749,"5,882",630,440,845
Abdul Satar Serat,"3,380",305,622,13,338,373,236,198,816,593,143,700,"1,465",639,634,510,546,"1,861","1,565","1,574","2,666",712,574,138,255,118,123,582,167,205,"2,945",411,194,"2,645"
Abdul Hafiz Mansoor,"2,140",466,578,809,82,88,198,164,245,136,113,157,"1,243",412,326,280,292,"1,006","2,416","1,187","1,560",450,411,44,380,46,25,383,152,56,"1,883",265,130,805
Ghulam Farooq Nijrabi,"4,292","12,643",360,12,67,38,109,89,168,12,157,16,541,243,317,102,217,409,608,552,886,174,167,26,83,23,52,147,50,17,767,115,69,275
Ahmad Shah Ahmadzai,"4,970",858,871,14,"1,973","2,811",206,299,"5,793","1,016","1,812","3,125","1,135",967,400,161,320,"1,504",911,986,"1,569","2,331","1,885",110,"2,026",295,"2,656","1,402","3,163","1,912","1,099",900,334,936
Abdul Hasseb Aryan,682,88,202,4,35,34,88,88,82,14,49,8,752,355,391,158,302,414,501,844,"1,098",96,99,13,31,16,15,125,12,9,862,152,72,301
Wakil Mangal,662,153,247,5,117,132,79,81,163,22,46,8,715,330,241,147,283,415,570,699,927,237,276,29,155,58,688,186,119,"1,513",866,218,97,377
Abdul Hadi Khalilzai,"1,273",265,456,8,161,180,170,139,989,815,299,127,943,503,400,192,385,564,"1,138","1,445","1,354",462,441,66,173,79,68,351,111,100,"1,818",422,140,509
Mohammad Ebrahim Rashid,690,184,307,30,176,31,235,170,549,13,149,14,921,641,286,370,449,756,923,920,"1,240",106,147,24,87,17,7,306,35,17,"1,937",596,171,828
Yonous Qanooni,"124,898","40,438","73,846","45,158","3,373","3,854","15,421",971,"6,856","1,649","5,551","14,505","98,939","42,288","7,376","44,155","27,003","94,501","82,408","50,769","57,896","9,202","7,924","2,581","2,570","1,177","1,790","18,999","8,541","2,173","199,484","54,763","25,974","94,637"
Massooda Jalal,"7,711","3,140","2,960",481,720,824,"1,297",680,"1,409",239,392,430,"4,498","3,515","1,532","1,065","2,135","14,672","5,060","4,805","8,623","2,743","3,003",193,"1,847",216,591,"1,334","1,075",700,"3,746","2,151",904,"4,039"
Syed Abdul Hadi Dabir,"2,692",901,517,42,70,133,130,92,359,61,65,18,"1,510","1,686","1,358",396,"1,074",945,967,"2,068","4,927",247,218,50,94,34,24,173,37,23,"1,348",518,163,444
Abdul Rashid Dostum,"4,746",109,465,12,95,45,118,80,513,116,83,179,"89,567","230,012","136,358","34,345","68,027","10,111","16,437","68,092","112,957",296,274,152,35,26,31,169,35,27,"1,565","3,490",68,309
