Ballot Order,Candidate Name,Candidate ID,Votes,Percentage of Votes
57,Mawlawi Shahzada Shahid,11-52-0086,10045,8.23%
15,Al-haj Sahiburrahman,11-52-0080,8359,6.85%
8,Shujaul Mulk,11-52-0053,8157,6.69%
62,Matiullah Sapai,11-52-0076,6036,4.95%
47,Shahpoor,11-52-0066,5171,4.24%
38,Haji Sayyad Ahmad,11-52-0014,4782,3.92%
3,Haji Esmatullah,11-52-0026,4279,3.51%
35,Haji Mohammad Zamin,11-52-0002,4207,3.45%
60,Ustad Amir Mohammad Salim,11-52-0164,3889,3.19%
34,Al-haj Attaullah Afzal,11-52-0006,2810,2.30%
54,Haji Jandad,11-52-0120,2774,2.27%
20,Sahib Ali,11-52-0070,2537,2.08%
25,Doctor Hamish Gulab Haqyar,11-52-0104,2455,2.01%
18,Jan Wali Khan,11-52-0010,2386,1.96%
24,Mohammad Ismael Safai,11-52-0051,2316,1.90%
64,Mawlawi Mohammad Aslam,11-52-0096,2020,1.66%
14,Malim Mostafa,11-52-0176,1979,1.62%
17,Gul Haar,11-52-0020,1864,1.53%
33,Dagarwal Noorrahman Ghaznai,11-52-0149,1830,1.50%
2,Sher,11-52-0038,1776,1.46%
30,Doctor Yar Mohammad Zahir,11-52-0057,1753,1.44%
23,Mohammadullah Shoaib Shamkar,11-52-0068,1675,1.37%
4,Shamsulhada Shams,11-52-0058,1673,1.37%
55,Shah Wali Salarzai,11-52-0083,1673,1.37%
46,Abdul Rasool Amin,11-52-0111,1596,1.31%
26,Sayyed Ahmad Rahmati,11-52-0009,1595,1.31%
12,Khushhal Basharmal,11-52-0184,1594,1.31%
31,Haji Jamdar,11-52-0001,1540,1.26%
11,Haji Habibullah Manzanai,11-52-0016,1372,1.12%
32,Mohammad Ali Rahmani,11-52-0031,1294,1.06%
63,Wagma Sapai,11-52-0047,1272,1.04%
45,Engineer Hazbullah Fikri,11-52-0063,1272,1.04%
44,Falak Nyaz Bahaderzai,11-52-0042,1238,1.01%
5,Doctor Toorpekai Alam,11-52-0137,1154,0.95%
51,Mohammad Hashem Danishmal,11-52-0052,1152,0.94%
56,Mohammad Arif Sahrayee,11-52-0055,1152,0.94%
22,Hazratya Jan,11-52-0034,1079,0.88%
19,Engineer Gul Agha Hassani,11-52-0064,1067,0.87%
13,Doctor Mohammad Jamil Karimzai,11-52-0139,1050,0.86%
43,Qazi Abdul Sattar,11-52-0152,1049,0.86%
37,Pardisa Safai,11-52-0024,1038,0.85%
27,Wakil Jandad Khan,11-52-0049,1011,0.83%
29,Mohammad Tayab Atta,11-52-0018,997,0.82%
21,Miadad Haqmal,11-52-0004,966,0.79%
10,Ahmad Jan Mano,11-52-0128,869,0.71%
9,Amir,11-52-0185,811,0.66%
50,Sangeen Qayyumzoy,11-52-0173,796,0.65%
36,Doctor Mir Hassan Talwar,11-52-0039,717,0.59%
28,Dawood Momand,11-52-0008,672,0.55%
6,Ustad Laila Jan,11-52-0003,664,0.54%
40,Doctor Omara Khan Alizai,11-52-0019,649,0.53%
49,Gul Baru,11-52-0017,621,0.51%
61,Doctor Shah Mohammad,11-52-0036,594,0.49%
65,Abdul Rahman Hakimzai,11-52-0107,533,0.44%
16,Gawhar Taj,11-52-0022,519,0.43%
41,Doctor Raz Mohammad,11-52-0092,498,0.41%
1,Al-haj Ghulamullah Khan,11-52-0154,464,0.38%
7,Mawlawi Azizullah,11-52-0110,457,0.37%
53,Roshan Gul,11-52-0075,454,0.37%
39,Khairulrahman Shinwari,11-52-0188,419,0.34%
42,Engineer Abdul Wali Adil,11-52-0123,409,0.34%
48,Mudeer Gulla Khan Safai,11-52-0153,377,0.31%
59,Mawlawi Abdullah Hamid,11-52-0119,241,0.20%
52,Engineer Esmatulllah Salarzai,11-52-0033,189,0.15%
58,Al-haj Mohammad Ayub Khan,11-52-0132,130,0.11%
