Ballot Order,Candidate Name,Candidate ID,Votes,Percentage of Votes
43,Mawlawi Saeedurrahman,12-58-0057,8917,10.63%
48,Engineer Mohammad Alim Qarar,12-57-0060,7332,8.74%
2,Esmatullah Muhabat,12-58-0064,6120,7.30%
40,Abdul Hadi Wahidi,12-58-0012,6109,7.28%
17,Ismael Yoon,12-57-0003,5445,6.49%
24,Malim Asadullah Asad,12-57-0004,4130,4.92%
42,Qeyamudeen Mazhar,12-57-0009,3376,4.03%
34,Zabith Abdul Muneer,12-58-0023,2809,3.35%
10,Ahmadudeen,12-57-0035,2808,3.35%
47,Muhammad Ajan Taslim,12-58-0077,2134,2.54%
28,Zefnoon Safai,12-57-0063,1848,2.20%
29,Haji Mohammad Mosam Shairzad,12-57-0013,1560,1.86%
26,Mawlawi Hayatullah Hayat Forqani,12-58-0059,1428,1.70%
38,Mullah Nabijan Ghamkhor,12-57-0007,1330,1.59%
19,Doctor Khesrow Yosoufzai,12-57-0016,1327,1.58%
36,Adam Khan Wafa Jabarkhail,12-58-0030,1288,1.54%
64,Haji Mohammad Arif Niazi,12-57-0036,1204,1.44%
18,Ajmal Suhail,12-57-0024,1199,1.43%
32,Arifa Omar Loor,12-57-0038,1189,1.42%
53,Abdul Momin Jabarkhail,12-57-0041,1160,1.38%
3,Doctor Abdul Malik Abdurrahimzai,12-57-0044,1101,1.31%
13,Saifulmaluk,12-57-0006,1099,1.31%
50,Doctor Fakhria Sarwari,12-57-0055,921,1.10%
59,Mahsel Khan,12-57-0031,889,1.06%
58,Parween Wafa,12-57-0039,776,0.93%
52,Fawziya Hotak,12-58-0061,725,0.86%
46,Mohammad Naser,12-57-0026,709,0.85%
5,Sayyad Agha Sahebzada,12-57-0015,663,0.79%
12,Sayyad Yosouf Pacha,12-57-0005,658,0.78%
31,Ghulam Marouf Rashidi,12-57-0045,645,0.77%
56,Hafiz Ahmad Gulzad,12-58-0069,641,0.76%
65,Abdul Qudous Dalili,12-58-0016,636,0.76%
39,Al-haj Raz Mohammad Waish,12-58-0013,618,0.74%
35,Engineer Mohammad Agha Mubarez,12-58-0045,601,0.72%
45,Haji Ghaforudeen Akhondzada,12-58-0008,593,0.71%
1,Sayyad Anwar Sadaat,12-57-0047,552,0.66%
41,Mohammad Akbar Hotak,12-58-0027,551,0.66%
37,Qazi Safiullah Akhundzada,12-57-0069,534,0.64%
11,Sayyad Ishaq Hashemi Pacha Saheb,12-58-0037,521,0.62%
60,Engineer Matiullah Mati Kharuti,12-58-0093,493,0.59%
57,Diplom Engineer Zia Kakar,12-57-0014,472,0.56%
21,Shahsowar,12-57-0054,464,0.55%
49,Muhibullah Babakarkhail,12-58-0054,457,0.54%
54,Gul Rahim Guludin,12-57-0066,442,0.53%
30,Saranpo Sayyad Mohammad Mosa Stor,12-57-0033,432,0.52%
62,Al-haj Sirajudeen Nasiri,12-57-0002,420,0.50%
63,Haji Mohammad Bahadur Khan Jabarkhail,12-58-0046,349,0.42%
22,Samiulhaq Sahak,12-58-0047,344,0.41%
14,Abdul Jalil,12-58-0015,342,0.41%
6,Mohammad Dawar Mirzakhel,12-57-0027,329,0.39%
23,Mulla Jan Ganjawni,12-57-0046,312,0.37%
7,Mawlawi Mohammad Sadiq Mahir,12-58-0040,308,0.37%
27,Ashuqullah Abdurrahimzai,12-57-0058,302,0.36%
16,Abdul Qahir Shariati,12-58-0067,276,0.33%
55,Najiya Quraishi,12-58-0050,274,0.33%
25,Altaf Hussain Afghan,12-58-0080,253,0.30%
44,Haji Gulaqa Ebrahimi,12-57-0022,253,0.30%
61,Qazi Nangyalai Sidiqi,12-58-0042,243,0.29%
33,Abdul Jalil Safai,12-58-0034,233,0.28%
15,Haji Dawran Hotak,12-57-0043,199,0.24%
51,Engineer Rokay,12-58-0036,183,0.22%
9,Zuhal Atmar,12-57-0001,136,0.16%
8,Doctor Abdul Latif Qayyumi,12-57-0070,98,0.12%
4,Haji Samiullah,12-58-0063,88,0.10%
20,Enayatullah Tolo,12-58-0022,25,0.03%
