Ballot Order,Candidate Name,Candidate ID,Votes,Percentage of Votes
18,Haji Dad Mohammad Khan,13-69-0015,12659,15.93%
23,Mawlawi Ahmadullah Mohed,13-69-0018,10399,13.09%
20,Fazal Ahmad Moslem,13-70-0002,7223,9.09%
15,Engineer Amirjan Nooristani,13-69-0044,6522,8.21%
14,Mohammad Akbar Gharzai,13-69-0011,4736,5.96%
2,Al-haj Abdul Saboor Tawhidi,13-69-0017,4663,5.87%
13,Hawa Alam Nooristani,13-69-0022,4468,5.62%
1,Al-haj General Mohammad Sarwar Khan,13-69-0006,4175,5.25%
11,Mohammad Yosouf Nooristani,13-69-0003,4014,5.05%
3,Wakil Ghulam Sakhi,13-69-0045,3924,4.94%
7,Mohammad Naser Khan Amin,13-69-0034,3599,4.53%
10,Sayyad Bibi Mohed,13-69-0012,2269,2.86%
24,Najiba Nooristani,13-69-0001,2235,2.81%
21,Doctor Wakil,13-69-0002,1922,2.42%
5,Mohammad Hashem,13-69-0014,1645,2.07%
8,Mudeer Mohammad Haidar Alinai,13-69-0027,1554,1.96%
19,Abdulhay Roshan,13-69-0025,1104,1.39%
4,Bibi Gulalai Nooristani,13-69-0033,699,0.88%
12,Habiba Nooristani,13-69-0023,537,0.68%
22,Mohammad Mosa Madani,13-69-0048,520,0.65%
17,Liza Ghawsi Nooristani,13-69-0020,364,0.46%
9,Doctor Abdul Wahab Atesha,13-69-0039,180,0.23%
6,Al-haj Abdul Aziz,13-69-0043,24,0.03%
16,Hafiz Abdul Qayyum,13-69-0005,16,0.02%
