Ballot Order,Candidate Name,Candidate ID,Votes,Percentage of Votes
2,Burhanuddin Rabani,14-01-0022,26422,11.38%
42,Zulmai Mujadadi,14-02-0036,14145,6.09%
24,Mawlawi Abdul Aziz,14-02-0042,11596,5.00%
61,Sayyad Abdul Qadir Sayaad,14-01-0054,8950,3.86%
65,Amanullah Paiman,14-01-0021,8286,3.57%
50,Sultan Mohammad Awrang,14-02-0076,7793,3.36%
79,Sayyad Muhabat Shah Kashani,14-01-0049,7115,3.07%
23,Fawzia Kofi,14-01-0017,6851,2.95%
72,Khalilurrahman,14-02-0063,6480,2.79%
12,Sultan Mohammad Ibadi,14-01-0042,5817,2.51%
32,Hajimohammad Yaqoub Esmati,14-01-0015,5480,2.36%
64,Ahmadi,14-02-0041,5254,2.26%
1,Al-haj Safar Mohammd Mobarez,14-01-0005,4813,2.07%
80,Daulat Mohammad Jushan,14-02-0037,4809,2.07%
83,Nasirullah Mohammadi,14-01-0069,4504,1.94%
82,Abdul Malik Baharistani,14-01-0012,4350,1.87%
55,Mawlawi Abdurrahman Anwari,14-02-0017,4093,1.76%
70,Fazluddeen Taqi,14-01-0041,3972,1.71%
47,Kashaf,14-01-0047,3848,1.66%
63,Ghulam Rabani Adib Mawlawi Qazi,14-02-0019,3713,1.60%
39,Jamshaid Khawari,14-02-0008,3190,1.37%
76,Haji Mohammad Hassan,14-02-0082,3044,1.31%
49,Rahimullah Qatra,14-01-0004,2861,1.23%
22,Abdul Muqadam Amin,14-02-0062,2676,1.15%
38,Qari Ziauddeen,14-01-0031,2674,1.15%
60,Mohammad Nazif Mustazaf,14-01-0037,2622,1.13%
67,Doctor Sayyad Mir Shairzoy,14-01-0026,2599,1.12%
59,Ziauddeen Waseq,14-02-0068,2551,1.10%
62,Sayyad Mohammad Amin Tariq,14-02-0015,2365,1.02%
71,Pohandoy Sayyad Azghar Haidari,14-02-0012,2363,1.02%
7,Sarwaruddeen Ayar,14-02-0011,2348,1.01%
86,Nazari Mohammad Neromand,14-02-0016,1887,0.81%
8,Mir Zaidullah Baba,14-01-0082,1837,0.79%
87,Kubra Dehqan,14-02-0025,1825,0.79%
3,Mawlawi Abdul Haq Rasooli,14-02-0027,1724,0.74%
19,Sayyad Abdul Tawab Muqadam Dehqan,14-01-0052,1660,0.72%
41,Mohammad Sharif Arzesh,14-02-0004,1628,0.70%
45,Ustad Adina Mohammad Khesrau Zebakyan,14-01-0034,1585,0.68%
35,Sayyad Abdul Wahab,14-01-0013,1540,0.66%
11,Mohammad Zahir Hatem,14-02-0002,1533,0.66%
54,Mohammad Zekriya Sauda,14-01-0007,1477,0.64%
18,Mohammad Moqem,14-02-0005,1454,0.63%
27,Ahmad Zaeem,14-01-0039,1439,0.62%
31,Anis Gul Akhgar,14-01-0002,1411,0.61%
68,Qari Abdul Fattah Fayaq,14-02-0057,1342,0.58%
17,Haji Mohammad Younas Darwazi,14-02-0050,1319,0.57%
53,Abdul Maajid Qari Mohammad Nabi,14-01-0033,1318,0.57%
52,Marziya Ahmadi,14-01-0006,1282,0.55%
84,Abdul Shahid Nadari,14-01-0010,1257,0.54%
5,Qazi Tajuddeen Sidiqi,14-02-0013,1256,0.54%
48,Noor Ahmad Attayee,14-01-0062,1217,0.52%
81,Hafizullah Kofi,14-02-0086,1215,0.52%
51,Engineer Mohammad Tahir,14-02-0046,1119,0.48%
73,Abdul Manan Hashemi,14-01-0056,989,0.43%
66,Abdul Raouf Badakhshi,14-01-0044,891,0.38%
29,Pashtoon Shahna,14-01-0035,887,0.38%
69,Khidher Khan Bidayee,14-02-0067,873,0.38%
26,Saranwal Mohammad Zahir Zafari,14-02-0052,867,0.37%
33,Sayyad Rabani Buzurgmehr,14-02-0010,849,0.37%
34,Rohgul Walizada,14-01-0073,820,0.35%
10,Doctor Sibghatullah Khaksari,14-02-0060,816,0.35%
85,Doctor Sayyad Amanuddeen Hasaam,14-02-0066,811,0.35%
74,Shair Ali,14-01-0090,809,0.35%
58,General Akbar Bukhari,14-02-0056,808,0.35%
28,Mohammad Raziq Saadiqi,14-02-0001,751,0.32%
46,Abdul Qahar Sarwari,14-01-0051,739,0.32%
78,Nawrooz,14-01-0011,737,0.32%
88,Boribeg Khamosh,14-02-0003,705,0.30%
37,Asal Mohammad Shakiri,14-02-0055,672,0.29%
43,Doctor Al-haj Mohammad Hanif Hanif,14-01-0032,646,0.28%
25,Abdul Basir Ishrat,14-01-0019,637,0.27%
21,Malik Beg,14-01-0025,626,0.27%
13,Mohammad Elyas Rashid,14-02-0022,593,0.26%
56,Zulaikha,14-01-0093,555,0.24%
14,Hakim Bek,14-02-0047,552,0.24%
4,Abdul Qudoos Haqiq,14-02-0034,550,0.24%
89,Abdul Ghias Khadim,14-01-0029,541,0.23%
57,Zaynab Attayee,14-02-0045,504,0.22%
15,Masooma Hussaini,14-02-0081,490,0.21%
30,Mawlawi Ghulam Nabi Hashemi,14-02-0032,486,0.21%
44,Gul Mohammad Baloch,14-02-0006,434,0.19%
36,Doctor Rohullah Mohaqeq,14-01-0024,422,0.18%
9,Sharafuddeen Akbari,14-02-0051,410,0.18%
16,Abdul Qadir Zafar,14-01-0059,404,0.17%
20,Monawar Shah Akhgar,14-02-0040,386,0.17%
40,Pir Mohammad Zarani,14-02-0024,359,0.15%
75,Muzafarudin,14-02-0048,144,0.06%
