Ballot Order,Candidate Name,Candidate ID,Votes,Percentage of Votes
10,Al-Haj Peram Qul Ziayee,15-84-0016,15445,6.15%
46,Mohammad Alam Saee,15-84-0008,11721,4.67%
1,Rayees Abdul Baqi,15-84-0031,8590,3.42%
9,Habiba Danish,15-84-0099,8549,3.41%
23,Al-Haj Abdul Jabar,15-84-0044,8525,3.40%
94,Qazi Mohammad Ayoub Meher,15-83-0044,7743,3.08%
97,Diplom Engineer Raz Mohammad Faiz,15-83-0039,7687,3.06%
27,Al-Haj Sibghatullah Zaki,15-84-0061,7456,2.97%
52,Mohammad Bashir Qaanit,15-83-0026,7070,2.82%
14,Haji Khair Mohammad,15-84-0006,6705,2.67%
83,Doctor Sayyad Ashrafuddin Aini,15-84-0003,6468,2.58%
28,Al-Haj Doctor Abdul Ahad Atif,15-84-0013,5485,2.18%
18,Attaullah Hasanpur,15-84-0009,5202,2.07%
2,Mohammad Hakim Sidiqi,15-84-0015,4957,1.97%
76,Rayees Abdul Khaliq,15-84-0026,4669,1.86%
57,Mawlawi Mohammadi,15-83-0035,4536,1.81%
42,Al-haj Pir Mohammad Khaksar,15-83-0002,4248,1.69%
6,Asadullah Walwalji,15-84-0027,4105,1.64%
11,Mohammad Aslam Taslim,15-83-0003,3616,1.44%
96,Al-Haj Ahmad Yaqoobi,15-84-0073,3611,1.44%
79,Mudir Tajudin Dawar,15-84-0070,3599,1.43%
54,Doctor Abdul Moheet,15-83-0017,3394,1.35%
84,Shafiqullah Rasooli,15-84-0084,3240,1.29%
58,Mawlawi Abdul Baqi Turkistani,15-84-0046,3204,1.28%
30,Rayees Qachqar Murad,15-84-0079,3189,1.27%
82,Abdurrahman,15-83-0005,3162,1.26%
67,Malim Abdul Rauf Mukhtar,15-84-0093,3140,1.25%
63,Belquis Mudaqiq,15-83-0036,3114,1.24%
91,Mohammad Tahir Bigzad,15-84-0042,3085,1.23%
17,Mawlawi Mohammad Ibrahim Salik,15-84-0067,2992,1.19%
33,Mawlawi Mohammadullah Mesaaq,15-84-0065,2897,1.15%
13,Abdullah Gaard,15-83-0007,2892,1.15%
90,Saleha,15-83-0013,2677,1.07%
39,Sayyad Amanullah Sirat,15-84-0028,2610,1.04%
86,Abdul Khabir,15-84-0052,2543,1.01%
38,Mir Mohammad Wali Jan,15-84-0156,2398,0.96%
