Ballot Order,Candidate Name,Candidate ID,Votes,Percentage of Votes
4,Haji Mohammad Omar,17-53-0030,10218,4.44%
60,Haji Abdul Rawoof,17-55-0027,8849,3.84%
66,Fazal Karim,17-53-0001,8377,3.64%
69,Ustad Shukria Paikan Ahmadi,17-53-0002,7636,3.32%
44,Haji Mohammad Amin Qaney,17-53-0023,7256,3.15%
86,Al-haj Pohanmal Moeen Mrastyal,17-55-0040,6784,2.95%
9,Nazek Mir Sarfaraz,17-53-0024,6602,2.87%
40,Qari Rahmatullah,17-53-0045,6426,2.79%
77,Haji Abdul Jalil Nekzad,17-53-0039,6046,2.63%
42,Rahmatullah,17-55-0062,5621,2.44%
11,Rohul Amin,17-55-0005,5441,2.36%
47,Al-Haj Asadullah Omarkhail,17-53-0043,5367,2.33%
63,Ustad Batash (Tabish),17-53-0046,4898,2.13%
83,Doctor Ramatullah,17-55-0053,4859,2.11%
32,Mohammad Gul Sahibzada,17-53-0014,4808,2.09%
55,Doctor Fatima Aziz,17-55-0071,4725,2.05%
92,Nazari Turkman,17-53-0028,4564,1.98%
45,Doctor Razia Shaidai,17-53-0004,4378,1.90%
8,Abdul Ghafar Sadid,17-53-0078,4131,1.79%
80,Imam Reza Naseri,17-53-0071,3886,1.69%
14,Doctor Sayyad Shah Wasiq,17-55-0016,3805,1.65%
54,Mawlawi Abdul Karim Arshid,17-53-0100,3778,1.64%
87,Al-Haj Saranpoh Abdul Raoof Mehraban,17-53-0037,3514,1.53%
81,Haji Mohammad Yosouf,17-55-0030,3127,1.36%
41,Diplom Engineer Abdulhadi Aimaq,17-55-0002,3100,1.35%
31,Mohammad Khan,17-53-0044,3060,1.33%
49,Mawlawi Abdullah,17-53-0026,2876,1.25%
74,Mohammad Hussain Qaramqul,17-55-0067,2823,1.23%
1,Mohammad Ayub Haqyar,17-55-0075,2691,1.17%
25,Mohammad Bashir Basharat,17-53-0009,2686,1.17%
2,Khan Shirin,17-53-0021,2607,1.13%
27,Doctor Sayyad Hussain Hashemi,17-55-0063,2574,1.12%
64,Wakeel Mohammad Amin,17-55-0036,2530,1.10%
85,Muslima Walji,17-53-0055,2468,1.07%
16,Enayatullah Khaliq,17-55-0037,2439,1.06%
89,Nafisa Sadiqi,17-53-0040,2337,1.02%
72,Sanator Mohammad Usman Arzbigi,17-53-0007,2195,0.95%
5,Doctor Zarmina Hasan,17-53-0027,2097,0.91%
19,Haji Naeb Zakhail,17-53-0049,2026,0.88%
51,Doctor Storay,17-55-0018,1993,0.87%
46,Shafiqa Arif Habibi,17-53-0020,1992,0.87%
78,Engineer Jan Mohammad Khan Baloch,17-55-0025,1909,0.83%
88,Abdul Shukoor Dost,17-55-0015,1869,0.81%
48,Abdul Samad,17-53-0011,1826,0.79%
20,Mohammad Shoaib Safi,17-53-0025,1788,0.78%
3,Farid Ahmad Kakar,17-55-0003,1758,0.76%
15,Habibullah,17-53-0086,1754,0.76%
34,Haji Ahmad Nashir,17-55-0031,1712,0.74%
91,Ustad Abdul Qadeer Rasooli,17-55-0011,1528,0.66%
62,Rahmat Shah Momand,17-53-0003,1517,0.66%
43,Mastora Azizi,17-55-0010,1468,0.64%
18,Haji Abdul Qayyum Yoldash,17-55-0049,1346,0.58%
6,Haji Sawdagar,17-55-0044,1336,0.58%
33,Bismillah Sher,17-53-0018,1331,0.58%
30,Sakhi Dad Khalili,17-53-0017,1277,0.55%
82,Haji Amanullah Shams,17-53-0106,1263,0.55%
67,Sultan Mohammad Rasooli,17-55-0032,1255,0.55%
75,Malali Saad,17-53-0005,1226,0.53%
65,Haji Hasamuddin,17-53-0022,1175,0.51%
13,Arab Nawaz Khaksar,17-53-0079,1173,0.51%
17,Al-Haj Abdul Salaam Khan,17-53-0008,1160,0.50%
90,Abdul Raziq Qaramqul,17-55-0068,1152,0.50%
38,Diplom Gul Mohammad,17-55-0021,1075,0.47%
73,Abdul Aziz,17-55-0035,1061,0.46%
68,Tajwar Kakar,17-53-0016,1058,0.46%
7,Doctor Ghulam Habib,17-55-0006,978,0.42%
10,Nizamuddeen,17-53-0072,948,0.41%
35,Al-haj Shair Mohammad Asmati Wardak,17-55-0069,931,0.40%
76,Malika Sadat Sangizada,17-53-0061,927,0.40%
61,Al- Haj Hafizullah Rahimi,17-53-0035,917,0.40%
12,Abdul Wahab Parhiz,17-55-0020,900,0.39%
84,Shaima,17-55-0039,887,0.39%
70,Mohammad Sayed Bariz,17-55-0012,875,0.38%
21,Ghulam Hasan,17-55-0023,857,0.37%
26,Faheema Farhat,17-55-0034,818,0.36%
57,Zalmai,17-55-0042,797,0.35%
36,Saeeda Jan,17-53-0101,738,0.32%
24,Painda Mohammad,17-53-0090,729,0.32%
58,Malim Abdul Karim,17-53-0076,715,0.31%
22,Haji Abdul Mohammad,17-53-0032,674,0.29%
53,Niamatullah,17-55-0056,609,0.26%
23,Malim Abdul Rahman Tark,17-53-0019,586,0.25%
71,Mawlawi Ghulam Rabani,17-55-0045,574,0.25%
52,Khushal Khan,17-55-0001,573,0.25%
37,Dad Ali,17-55-0054,548,0.24%
28,Abdul Sami Muradi,17-53-0082,536,0.23%
56,Al-haj Sayyad Abdul Kabir,17-55-0052,500,0.22%
50,Qazi Jan Mohammad Akbari,17-55-0073,454,0.20%
59,Attaullah,17-53-0036,409,0.18%
29,Al- Haj Matiullah Dihati,17-53-0033,388,0.17%
39,Abdul Karim Kaihan,17-55-0029,380,0.17%
79,Abdul Hameed,17-55-0058,360,0.16%
