Ballot Order,Candidate Name,Candidate ID,Votes,Percentage of Votes
111,Al-haj Mohammad Ishaq Rahgozar,19-11-0010,15977,5.48%
34,Alam Khan Azadi,19-09-0005,15840,5.43%
73,Ashraf Ramazan (Deceased),19-09-0003,11459,3.93%
61,Sayed Mohammad Ali Jawed,19-08-0009,9408,3.22%
101,Roz Guldi Awichi,19-12-0025,9273,3.18%
82,Al-haj Mohammad Abda,19-08-0004,9110,3.12%
116,Al-haj Mohammad Yosouf Ghazanfar,19-12-0008,8261,2.83%
97,Shah Mard Anqul,19-11-0013,7823,2.68%
36,Sayyad Zahir Masroor,19-11-0003,7527,2.58%
65,Abdul Israr,19-10-0007,7106,2.44%
67,Zalmai Yonusi,19-10-0011,6675,2.29%
89,Doctor Fida Mohammad Paikan,19-08-0008,6621,2.27%
37,Wakil Abdul Wahab,19-11-0002,6236,2.14%
98,Al-haj Mawlawi Abdul Rahman Rahmani,19-07-0010,6166,2.11%
19,Ghulam Mohammad Yaylaqi,19-12-0039,6087,2.09%
62,Doctor Habibullah Kohmand,19-12-0022,5660,1.94%
59,Jamil,19-11-0026,5364,1.84%
69,Sayyad Shamsuddeen,19-10-0003,5078,1.74%
84,Al-haj Akhtar Mohammad Ibrahim Khalil,19-11-0006,4824,1.65%
81,Ramatullah Makhdoomzada,19-12-0007,4744,1.63%
28,Mohammad Sarwar,19-11-0001,4177,1.43%
49,Sayed Ahmad Shah,19-07-0019,4174,1.43%
32,Engineer Zafar Khan,19-12-0011,4123,1.41%
29,Ghulam Faroq Khpalwaak,19-07-0021,3994,1.37%
11,Haji Mullah Mohammad Rasool,19-08-0039,3620,1.24%
31,Saifoor Niazai,19-10-0024,3302,1.13%
18,Al-haj Mawlawi Gul Ahmad Mazari,19-08-0019,3242,1.11%
78,Mohammad Omar Safai,19-10-0023,3208,1.10%
108,Ustad Mohammad Tahir Mofeed,19-12-0003,3191,1.09%
100,Sadiq Asyan,19-08-0030,3043,1.04%
77,Mohammad Yosouf,19-09-0021,2877,0.99%
90,Sayyad Hadi Balkhi,19-09-0004,2827,0.97%
106,Sulaiman Abu Sharif,19-10-0006,2747,0.94%
75,Pohanyar Ustad Noorullah Muhsini,19-10-0012,2662,0.91%
53,Haji Abdul Qayyum Sar Malim,19-08-0003,2607,0.89%
24,Doctor Gulalai Noor Safai,19-08-0021,2597,0.89%
85,Mohammad Zaman Rashidi,19-11-0022,2472,0.85%
99,Ustad Mohammad Azim Hamid,19-12-0016,2421,0.83%
56,Shaikh Sulaiman,19-10-0032,2313,0.79%
30,Engineer Ghulam Haidar Akhgar,19-10-0018,2180,0.75%
70,Al-Haj Sayed Muhayedin Gawhari,19-07-0013,2140,0.73%
33,Humaira Akakhel,19-07-0025,2111,0.72%
87,Doctor Mawluddeen Beg,19-10-0001,2108,0.72%
68,Al-haj Mawlawi Ahmad Nazar Balkhi,19-07-0039,2085,0.71%
3,Makhdoom Sayyad Mohammad Atta,19-12-0012,2083,0.71%
