Ballot Order,Candidate Name,Candidate ID,Votes,Percentage of Votes
29,Haji Farid,02-48-0005,9969,12.16%
18,Abdul Hadi Safai,02-48-0039,7893,9.63%
19,Al-haj Mohammad Iqbal Safai,02-48-0006,6259,7.63%
21,Al-Haj Abdul Bashir Yaqubi,02-48-0079,4192,5.11%
1,Noor Habib Jalal,02-48-0070,4014,4.90%
42,Hameedulla Hatem,02-48-0085,3570,4.35%
17,Qaari Mayel Agha,02-48-0002,3557,4.34%
24,Ghulam Nabi Khan Safai,02-48-0064,3307,4.03%
11,Jawaid Kohestani,02-48-0001,3141,3.83%
7,Anjaneer Ammrullah Sarhadi,02-48-0027,2305,2.81%
6,Haji Ziaulhaq,02-48-0033,2244,2.74%
43,Qari Doctor Abdul Hakim Hamed,02-48-0047,2080,2.54%
32,Tahira Mirzada,02-48-0074,1945,2.37%
25,Saadullah Khan,02-48-0034,1913,2.33%
30,Haji Shair Agha,02-48-0023,1821,2.22%
5,Doctor Dadullah Halim,02-48-0030,1783,2.17%
35,Tahera Parsaa Mojadadi,02-48-0004,1675,2.04%
20,Al-Haj Engineer Jailani,02-48-0053,1543,1.88%
34,Deplom Engineer Noor Agha Noori,02-48-0078,1489,1.82%
37,Haji Noor Aqa,02-48-0071,1422,1.73%
9,Noor Aagha Sahebzada,02-48-0032,1316,1.60%
23,Pashtoon Hashemi,02-48-0007,1211,1.48%
3,Aabdul Qasim Sanjanai,02-48-0013,1133,1.38%
41,Saifura Kohistani,02-48-0020,1089,1.33%
2,Enayatullah Baleegh,02-48-0049,1074,1.31%
12,Azizullah Safai,02-48-0018,960,1.17%
13,Al-haj Anjineer Mohamad,02-48-0062,954,1.16%
36,Nooria Ayar,02-48-0095,945,1.15%
4,Abdul Manan Atazada,02-48-0003,934,1.14%
16,Haji Mohamad Nabi Rahimullah,02-48-0056,917,1.12%
27,Mohamad Anwar Dilyar,02-48-0076,768,0.94%
28,Abdul Wahaab Abid,02-48-0041,724,0.88%
39,Mehrab-u-Din Haseeb,02-48-0091,719,0.88%
40,Doctor Abdullah Nasrat,02-48-0054,568,0.69%
10,Azima Kohistani,02-48-0011,555,0.68%
8,Ustad Mohammad Mullah Tawakal Bakhuda,02-48-0087,552,0.67%
14,Haji Welayat Khan Rooshan Zamir,02-48-0037,511,0.62%
15,NawShairwan Adeeb,02-48-0094,218,0.27%
31,Mohammad Asaq,02-48-0090,218,0.27%
33,Abdul Jaan,02-48-0021,183,0.22%
38,Taleb Jan,02-48-0048,158,0.19%
22,Haji Ghulam Mohammad Jan,02-48-0086,117,0.14%
26,Abdul Ghafar Safi,02-48-0072,49,0.06%
