Ballot Order,Candidate Name,Candidate ID,Votes,Percentage of Votes
28,Faizullah Zaki,20-34-0050,23308,18.36%
23,Abdul Satar Darzabi,20-34-0014,6157,4.85%
22,Haji Abdul Wahab,20-34-0024,5978,4.71%
34,Baz Mohammad Jowzjani,20-34-0003,5894,4.64%
13,Engineer Ahmad,20-34-0012,5615,4.42%
1,Mawlawi Ibadullah Ibadi,20-34-0018,5172,4.07%
35,Mustafa Kamal Makhdoom,20-34-0016,4565,3.60%
6,Mohibullah Khan,20-34-0022,4081,3.21%
5,Haji Yolabras Attayee,20-34-0004,3822,3.01%
32,Juma Bai Khambai,20-34-0045,3772,2.97%
31,Mohammad Ismael Monshi,20-34-0056,3485,2.75%
25,Aminullah,20-34-0040,3428,2.70%
38,Haji Ismael,20-34-0060,3303,2.60%
14,Fahima Sadaat,20-34-0041,3249,2.56%
27,Sayyad Azizullah Ulfati,20-34-0011,3230,2.54%
24,Amanullah Habibi,20-34-0006,3212,2.53%
19,Sayera Shekeb,20-34-0062,3162,2.49%
16,Mohammad Barat Ahmadi,20-34-0106,3080,2.43%
29,Al-haj Ramatullah Safi,20-34-0065,2918,2.30%
10,Abdul Qadir,20-34-0075,2834,2.23%
26,Haji Mohammad Azam,20-34-0047,2525,1.99%
8,Dad Manish,20-34-0002,2353,1.85%
12,Gawhar Khan Babari,20-34-0021,2261,1.78%
33,Engineer Hasina Mukhlis,20-34-0091,1988,1.57%
4,Mohammad Nahim Gul Agha,20-34-0071,1916,1.51%
3,Asifa Saba,20-34-0049,1856,1.46%
18,Doctor Fahima Baloch,20-34-0089,1394,1.10%
9,Maghfirat Samimi,20-34-0063,1338,1.05%
20,Gul Ahmad Paiman,20-34-0070,1295,1.02%
30,Dawood Khan Ishaqzai,20-34-0009,1200,0.95%
39,Haji Abdul Qadir,20-34-0059,1198,0.94%
17,Engineer Ahmad,20-34-0051,1141,0.90%
2,Azrat Qul Shheer,20-34-0031,1109,0.87%
7,Aqa Mohammad Makhdoom,20-34-0042,1013,0.80%
11,Khair Mohammad,20-34-0072,1010,0.80%
37,Engineer Paighambar Qul,20-34-0084,852,0.67%
36,Doctor Mir Abas Akhtari,20-34-0036,775,0.61%
15,Mumlikat Rahmani,20-34-0029,764,0.60%
21,Mahbooba Rasikh,20-34-0035,698,0.55%
