Ballot Order,Candidate Name,Candidate ID,Votes,Percentage of Votes
3,Mohammad Hussain Fahimi,21-81-0043,11592,10.21%
40,Al-haj Payenda Mohammad Khan,21-81-0003,9991,8.80%
2,Haji Khair Mohammad Aimaq,21-81-0040,9670,8.51%
35,Mawlawi Abdul Khabir,21-81-0018,7668,6.75%
37,Haji Mohammad Noor,21-81-0038,5205,4.58%
38,Sayyad Ishaq Aadili,21-81-0050,4627,4.07%
6,Mawlawi Mohammad Zarif,21-81-0021,4495,3.96%
21,Mohammad Karim Khan Sharifi,21-81-0030,3981,3.50%
16,Shaikh Mukhtari,21-81-0027,3966,3.49%
7,Wakil Faizullah Fayaz,21-81-0002,3750,3.30%
4,Al-haj Sayyad Muhibullah Gailani,21-81-0010,3735,3.29%
19,Humaira Gulshini,21-81-0004,3702,3.26%
30,Haji Khair Mohammad Ishaqzai,21-81-0076,3572,3.14%
29,Azizah Jalis,21-81-0031,2979,2.62%
14,Mohammad Alam Naziri,21-81-0029,2892,2.55%
15,Bibi Zuhra Fazili,21-81-0082,2750,2.42%
23,Sayyad Hesamuddeen Ibrahimi,21-81-0017,2575,2.27%
33,Al-haj Sayyad Habiburahman Shah Tothy,21-81-0024,2202,1.94%
5,Ghulam Sahkhi Rasooli Sancharaki,21-81-0001,2027,1.78%
42,Doctor Mohammad Rostam Rajabi,21-81-0016,1877,1.65%
34,Malim Azizullah Qaanit,21-81-0046,1836,1.62%
1,Doctor Shafiqa Yarqin,21-81-0036,1807,1.59%
28,Al-haj Doctor Mohammad Aslam Qarayee,21-81-0015,1727,1.52%
18,Mawlawi Mohammad Ishaq Mostafawi,21-81-0091,1576,1.39%
11,Makhdom Naqibullah,21-81-0059,1323,1.16%
20,Ghulam Rasool Tawasoli,21-81-0026,1291,1.14%
31,Mohammad Shakir,21-81-0084,1192,1.05%
26,Sayyad Ghaznafar Sancharaki,21-81-0011,1080,0.95%
39,Sayyad Mohammad Ali Hussaini,21-81-0056,1078,0.95%
12,Sayyad Mohammad Ali Shah Sajadi,21-81-0008,1057,0.93%
32,Roqiyah Waezzada,21-81-0013,1023,0.90%
36,Ghawsuddeen,21-81-0022,768,0.68%
22,Dawood Khan Sayadi,21-81-0064,708,0.62%
41,Mohammad Hashem Makhdoom,21-81-0007,689,0.61%
13,Chaman Hamidi,21-81-0019,541,0.48%
9,Qazi Mohammad Afzal,21-81-0041,489,0.43%
8,Sayyad Timur Agha,21-81-0080,488,0.43%
10,Ahmad Gul Aimaq,21-81-0028,475,0.42%
25,Doctor Gul Aqa Yosoufi,21-81-0052,463,0.41%
27,Najiba Parwana,21-81-0075,334,0.29%
17,Haji Mohammad Rafiq,21-81-0066,223,0.20%
24,Mobarak Rezayee,21-81-0012,164,0.14%
