Ballot Order,Candidate Name,Candidate ID,Votes,Percentage of Votes
9,Mohammad Shakir Kargar,22-20-0019,19956,8.37%
16,Fathullah,22-20-0011,12576,5.27%
25,Sardar Mohammad Rahman Aughali,22-20-0033,10224,4.29%
65,Mawlawi Shaikh Ahmad,22-19-0057,7388,3.10%
27,Ahmad,22-19-0075,5880,2.47%
62,Haji Sirajuddeen Safari,22-19-0040,5773,2.42%
5,Noorullah,22-19-0070,5611,2.35%
44,Haji Qorban Nazar,22-20-0018,5440,2.28%
18,Haji Jomagul Khan,22-19-0067,5368,2.25%
46,Najibullah Salimi,22-20-0006,5342,2.24%
55,Sardar Eilmorad Arghon,22-19-0015,5049,2.12%
48,Fawziyah Raoufi,22-19-0046,4897,2.05%
76,Haji Abdul Ahad,22-20-0031,4465,1.87%
56,Jalil Ahmad Shaikhulislami,22-20-0038,4261,1.79%
24,Mohammad Aziz,22-19-0035,4039,1.69%
82,Mawlawi Mohammad Saadiq Nasih,22-20-0032,4011,1.68%
66,Al-haj Mohammad Hashem,22-19-0044,3978,1.67%
49,Mohammad Tariq,22-20-0047,3812,1.60%
40,Doctor Ezatullah Amid,22-20-0015,3785,1.59%
37,Ghulam Jailani,22-19-0056,3650,1.53%
70,Asifah Shadab,22-19-0064,3429,1.44%
12,Mohammad Ayub Sayee,22-19-0023,3402,1.43%
10,Doctor Emam Nazar Saadiqzada,22-19-0016,3340,1.40%
33,"Sultanat ""Kohi""",22-20-0005,3334,1.40%
51,Abdul Shakoor,22-19-0013,3315,1.39%
78,Nasrullah Rahmani,22-19-0089,3223,1.35%
63,Zarmina Zaray,22-19-0014,3032,1.27%
81,Haji Mazrab Attayee,22-19-0025,2956,1.24%
2,Mudeer Mosa Qadari,22-19-0004,2941,1.23%
36,Doctor Abdul Sattar Rahimi,22-19-0003,2923,1.23%
1,Lailoma,22-19-0076,2831,1.19%
45,Sayyad Ahmad Khan Gailani,22-19-0008,2707,1.14%
7,Al-haj Mohammad Zahir Masoomi,22-20-0003,2668,1.12%
19,Ghulam Nabi,22-20-0013,2621,1.10%
64,Mawlawi Ghulam Nabi Ghafoori,22-19-0002,2609,1.09%
61,Abdul Ahad,22-19-0088,2546,1.07%
8,Qazi Mir Alam Roshan,22-19-0021,2398,1.01%
39,Salih Mohammad Todapur,22-19-0039,2372,0.99%
15,Al-haj Shah Reza Monshizada,22-20-0009,2285,0.96%
72,Haji Allah Birdi Sorkhi,22-20-0014,2279,0.96%
35,Doctor Sayyad Mohammad Zaman,22-19-0055,2231,0.94%
38,Mohammad Akbar Sarwari,22-20-0022,2123,0.89%
31,Abdul Aziz,22-19-0058,2057,0.86%
32,"Sayyad Zainuddeen ""Abidi""",22-20-0066,2057,0.86%
73,Hayatullah Sorkhabi,22-19-0018,1992,0.84%
22,Aqa Mohammad,22-19-0027,1985,0.83%
29,Al-haj Mohammadyar Arab,22-20-0017,1964,0.82%
42,Shah Sulaiman,22-19-0030,1916,0.80%
67,Mohammad Sarwar,22-19-0069,1898,0.80%
50,Abdurrahim,22-19-0034,1889,0.79%
30,Abdurrahim,22-19-0060,1777,0.75%
11,Haji Nazar Mohammad,22-20-0035,1670,0.70%
57,Ustad Hamidah Hamid,22-19-0006,1657,0.69%
60,Sharifa Azimi,22-20-0002,1618,0.68%
80,Soraya Ahadi,22-19-0001,1591,0.67%
20,Abdul Majid Khan,22-20-0053,1557,0.65%
43,Doctor Mohammad Sharif,22-20-0026,1520,0.64%
4,Mohammad Wazir,22-19-0059,1492,0.63%
34,Mohammad Aziz Hamraz,22-19-0007,1487,0.62%
54,Latifa Safa,22-19-0083,1479,0.62%
74,Aqa Karim Watanyar,22-20-0008,1459,0.61%
21,Abdul Wahid Naseri,22-20-0012,1400,0.59%
41,Al-haj Pohanyar Hedayatullah Hedayat,22-19-0019,1348,0.57%
14,Al-Haj Mawlawi Agha Mohammadullah,22-19-0028,1313,0.55%
59,Haji Abdul Samad Arman,22-19-0005,1195,0.50%
77,Abdul Karim,22-20-0010,1128,0.47%
75,Abdurrashid,22-20-0028,1119,0.47%
53,"Amanullah ""Nadim""",22-20-0050,1114,0.47%
23,Abdul Qudoos Qlich,22-20-0016,1102,0.46%
6,Ahmad Barati,22-20-0065,1101,0.46%
3,Doctor Sayyad Ahmad Sadaat,22-19-0012,1061,0.44%
28,Serajuddeen Joyan,22-19-0082,880,0.37%
26,Sohaila,22-20-0004,866,0.36%
52,Qari Abdurrasool Khairkhwah Saadiqi,22-20-0036,795,0.33%
71,Shiringul Khan,22-20-0046,721,0.30%
79,Mohammad Bahram Roya,22-20-0020,712,0.30%
13,Hayatullah Behroz Khaliqi,22-19-0045,708,0.30%
47,Haji Mohammad Yaqoub Jabali,22-20-0007,672,0.28%
69,Haji Bismillah Kalani,22-20-0021,637,0.27%
68,Abdul Ghafoor,22-20-0027,218,0.09%
58,Haji Abdullah Fozhan,22-20-0051,202,0.08%
