Ballot Order,Candidate Name,Candidate ID,Votes,Percentage of Votes
1,Mohammad Yaqoub,23-04-0005,9580,7.33%
7,Haji Mullah Abdullah,23-03-0019,7617,5.83%
3,Azita Rafat,23-03-0015,7211,5.52%
5,Mullah Malang,23-03-0026,7031,5.38%
10,Hafizullah Binesh,23-03-0011,6945,5.31%
36,Wakil Abdul Zahir Achekzai,23-03-0012,6632,5.08%
33,Abdul Hadi,23-04-0012,6577,5.03%
20,Abdul Ghani,23-03-0037,5617,4.30%
13,Haji Mohammad Anwar Yawari,23-04-0014,4820,3.69%
27,Mohammad Naeem Azimi,23-03-0022,4773,3.65%
30,Ghulam Jailani,23-04-0006,4666,3.57%
12,Mohammad Rasool Kaker,23-04-0007,4659,3.57%
6,Najibullah,23-03-0047,4018,3.07%
8,Sufiya Aimaq,23-03-0008,3909,2.99%
29,Haji Aminulhaq,23-04-0004,3873,2.96%
19,Haji Aqa Abdul Halim Shaikhulislami,23-04-0001,3769,2.88%
34,Mohammad Israel,23-03-0002,3292,2.52%
28,Qazi Mohammad Osman Haqtalab,23-04-0018,3286,2.51%
31,Saadi Behbodi,23-03-0003,3272,2.50%
35,Haji Mohammd Ibrahim Bahij,23-03-0004,3214,2.46%
32,Haji Mohammad Aziz Omarzai,23-03-0025,3018,2.31%
16,Doctor Sayyad Mohammad Sediq Amini,23-03-0024,2795,2.14%
4,Abdul Majid,23-03-0006,2787,2.13%
18,Haji Ghulam Sarwar Fayaz,23-03-0007,2672,2.04%
11,Ayesha Saadat,23-03-0017,2495,1.91%
2,Sharafuddeen Mohammadi Khadem Shariat,23-03-0055,1922,1.47%
22,Abdul Qudoos Aimaq,23-03-0005,1892,1.45%
23,Mohammad Asal,23-03-0046,1867,1.43%
25,Abdul Jalil,23-04-0021,1686,1.29%
14,Abdul Karim Nasrat,23-03-0014,1398,1.07%
17,Zarghona Yosoufi,23-03-0061,952,0.73%
24,Haji Abdul Samad Fazli,23-04-0013,860,0.66%
26,Malim Abdul Ahad,23-03-0009,584,0.45%
21,Basirah Habibzai,23-03-0059,557,0.43%
15,Mohammad Zia,23-04-0008,423,0.32%
