Ballot Order,Candidate Name,Candidate ID,Votes,Percentage of Votes
36,Mohammad Naeem Farahi,25-28-0026,11468,10.76%
9,Malalai Joya,25-29-0043,7813,7.33%
12,Obaidullah Halali,25-28-0032,7650,7.18%
38,Ainuddeen,25-28-0027,7047,6.61%
27,Mamur Mosa,25-29-0029,3929,3.69%
2,Ghulam Dastagir,25-29-0006,3242,3.04%
10,Haji Timur Shah,25-29-0038,3131,2.94%
37,Haji Rawoofi,25-28-0028,3008,2.82%
43,Haji Shair Aqa,25-29-0004,2946,2.76%
6,Abdul Habib,25-29-0042,2913,2.73%
11,Sayyad Ahmad,25-28-0006,2788,2.62%
16,Abdul Karim Zargar,25-29-0001,2710,2.54%
26,Mohammad Alam,25-28-0004,2626,2.46%
39,Abdul Samad Sidiqi,25-28-0018,2621,2.46%
20,Abdul Hai Nemati,25-29-0007,2605,2.44%
25,Abdul Majeed Zawri,25-28-0023,2562,2.40%
45,Al-haj Sanator,25-28-0003,2462,2.31%
18,Gul Nawaz Shiwani,25-28-0008,2296,2.15%
5,Sufi Fazal Ahmad,25-29-0047,2159,2.03%
17,Qazi Mohammad Kashmir,25-28-0037,2023,1.90%
34,Jamila Fayez,25-29-0009,2000,1.88%
8,Ustad Abdul Hamid,25-29-0016,1984,1.86%
19,Abdul Satar Ishaqzai,25-28-0009,1972,1.85%
7,Mohammad Sarwar Usmani,25-29-0005,1965,1.84%
1,Abdul Majeed Dihati,25-28-0017,1918,1.80%
15,Abdul Manan,25-28-0019,1861,1.75%
29,Mohammad Omar Sateh,25-28-0055,1801,1.69%
41,Rahim Shah,25-29-0013,1720,1.61%
28,Haji Abdul Salam,25-28-0031,1499,1.41%
22,Haji Abdul Ahad,25-28-0015,1418,1.33%
23,Shah Mohammad Khan,25-29-0058,1075,1.01%
42,Abdurrahman Qazizada,25-28-0014,1010,0.95%
21,Mohammad Omar Rasooli,25-28-0007,992,0.93%
30,Doctor Shaikh Ahmad,25-28-0033,859,0.81%
44,Shirin Faizi,25-29-0018,840,0.79%
3,Mohammad Israel Noori,25-29-0026,740,0.69%
33,Engineer Amanullah,25-28-0024,726,0.68%
40,Mohammad Ewaz,25-28-0030,697,0.65%
35,Baboo Abdul Rahim,25-28-0054,693,0.65%
14,Lal Mohammad Haidari,25-29-0008,660,0.62%
32,Mohammad Anwar Pilot,25-29-0040,608,0.57%
4,Jalad Khan,25-28-0002,482,0.45%
47,Gul Noor,25-29-0020,448,0.42%
46,Khodai Rahim,25-29-0050,378,0.35%
13,Haji Ghulam Mohammad,25-28-0035,238,0.22%
