Ballot Order,Candidate Name,Candidate ID,Votes,Percentage of Votes
17,Khodainazar Sarmachar,26-67-0002,5117,14.64%
2,Haji Mohammad Sarwar,26-67-0022,4606,13.18%
7,Haji Mohammad Sidiq,26-67-0009,3040,8.70%
14,Haji Abdul Ghafoor Zoori,26-68-0008,2469,7.07%
15,Lal Zad,26-68-0001,2464,7.05%
10,Mohammad Ismael,26-68-0012,2441,6.99%
18,Hazrat Gul,26-67-0001,1790,5.12%
13,Mir Abdullah,26-68-0005,1600,4.58%
19,Abdul Baseer,26-67-0021,1470,4.21%
8,Saliha,26-67-0017,1445,4.14%
1,Habibullah Rasooli,26-68-0003,1361,3.89%
12,Haji Abdul Qayoom,26-68-0026,1229,3.52%
6,Ghulam Sarwar Baloch,26-67-0003,1197,3.43%
3,Firishta Amini,26-67-0027,1154,3.30%
4,Haji Mohammad Nabi Mohibi,26-68-0004,1057,3.02%
16,Farida Hamidi,26-67-0020,940,2.69%
9,Bader Jamal Ghamai,26-68-0007,603,1.73%
11,Khalilullah,26-67-0026,453,1.30%
5,Allah Nazar Gargeej,26-68-0023,357,1.02%
20,Mullah Ghulam Mohammad,26-68-0009,152,0.43%
