Ballot Order,Candidate Name,Candidate ID,Votes,Percentage of Votes
13,Haji Mullah Abdul Salam Raketi,29-89-0006,3027,15.65%
18,Hameedullah Tukhi,29-90-0003,2134,11.03%
10,Doctor Gulam Dastager Rashedi,29-89-0017,1816,9.39%
5,Abdul Qader Qalatwal,29-89-0002,1456,7.53%
20,Atta Jan Kajeerwaal,29-89-0003,1197,6.19%
9,Timur Shah Khan,29-90-0014,1188,6.14%
15,Haji Abdullah Khan,29-90-0019,1169,6.04%
7,Haji Dad Mohammad Khan,29-89-0005,1156,5.98%
17,Mohammad Dawood Gulzar,29-89-0021,1012,5.23%
3,Toorpekai,29-90-0006,751,3.88%
1,Al-Haj Mawlawi Abdurrahman Hotak,29-90-0021,708,3.66%
6,Zarmina Patan,29-89-0008,577,2.98%
4,Mawlawi Mohammad Omar,29-90-0011,494,2.55%
2,Esmat Qane,29-90-0004,410,2.12%
22,Mawen Nazer Mohammad,29-90-0002,356,1.84%
8,Haji Mukhtar,29-90-0016,339,1.75%
11,Sardar Ghulam Rabani Khan Nasiri,29-90-0007,335,1.73%
12,Saduzai Tukhi,29-89-0010,283,1.46%
14,Habib Gulsetanazai,29-90-0005,271,1.40%
16,Alauddeen,29-90-0009,260,1.34%
21,Assadullah Hamdam,29-89-0014,237,1.23%
19,Sardar Ezatullah,29-90-0027,170,0.88%
