Ballot Order,Candidate Name,Candidate ID,Votes,Percentage of Votes
28,Mohammad Almas,03-78-0017,9043,10.94%
30,Samia Azizi Sadaat,03-78-0125,4740,5.73%
7,Sadiq Ahmad Usmani,03-78-0081,4210,5.09%
16,Saranwal Abdul Satar Khawasi,03-78-0029,3326,4.02%
1,Jan Gul Kaargar,03-78-0047,3291,3.98%
29,Mohamamd Naeem Maqsoodi,03-78-0044,3162,3.83%
26,Aqa Shirin Khan,03-78-0011,2834,3.43%
43,Mawlawi Abdul Salaam Abid,03-78-0038,2824,3.42%
49,Mawlawi Abdul Rahim Shah Agha,03-78-0021,2744,3.32%
40,Abdul Samad,03-78-0088,2551,3.09%
24,Noor Habib,03-78-0060,2425,2.93%
46,Dagarwal Ghulam Jelani,03-78-0016,2148,2.60%
37,Abdul Maqsood Rahimi,03-78-0002,1976,2.39%
20,Pahlawan Yahya,03-78-0110,1903,2.30%
15,Qazi Zabihullah Ibrahimi,03-78-0043,1901,2.30%
11,Al-Haj Engineer Abdul Ghafar Ghyasi,03-78-0006,1832,2.22%
17,Shafiqa Noori,03-78-0018,1770,2.14%
51,Zakia Zaki,03-78-0001,1728,2.09%
27,Hadi Turkmani,03-78-0061,1699,2.06%
54,Haji Mohammad Aman Amin Baqaee,03-78-0022,1696,2.05%
14,Engineer Bahlol Safi,03-78-0042,1660,2.01%
21,Abdul Samad Rahimi,03-78-0025,1567,1.90%
47,Faiz Mohamad,03-78-0030,1561,1.89%
25,Engineer Zalmai Khan Saboor,03-78-0062,1414,1.71%
12,Khadimudin Shah Padshah Allahyar,03-78-0059,1270,1.54%
32,Deplom Engineer Abdul Qaader Zahin,03-78-0034,1149,1.39%
44,Al-Haj Aziz-u-Rahman,03-78-0003,1067,1.29%
36,Abdul Qaisoor,03-78-0102,1011,1.22%
19,Doctor Khowaja Mir Azam Mehraban,03-78-0121,1006,1.22%
42,Haji Zmarai,03-78-0133,1001,1.21%
38,Saranwal Abdul Jalil Aziz,03-78-0008,904,1.09%
56,Abdul Qadeer Niazi,03-78-0046,893,1.08%
18,Shakiba Sayyed Khili Ghani,03-78-0071,887,1.07%
45,Qazi Mohamad Naeem Fayaz,03-78-0027,793,0.96%
41,Arifa Samadi,03-78-0009,701,0.85%
8,Abdul Haq Malikzada,03-78-0020,695,0.84%
3,Mohammad Kabir,03-78-0039,604,0.73%
23,Shafiqa Sahar,03-78-0108,560,0.68%
13,Mohammad Sadiq,03-78-0114,534,0.65%
53,Abdul Jalil Rafiq,03-78-0013,523,0.63%
34,Sarfaraz Khan,03-78-0004,501,0.61%
52,Dawlatzai Bagramwal,03-78-0083,474,0.57%
50,Zabit Abdul Rahman,03-78-0098,467,0.56%
5,Abdul Ghafor Masjidi,03-78-0010,440,0.53%
10,Bismillah Zahidi,03-78-0012,428,0.52%
22,Wahida Hadeef Adalatju,03-78-0107,399,0.48%
6,Zabit Abdul Wahid,03-78-0069,381,0.46%
35,Rahmatulla Mojahed,03-78-0078,380,0.46%
33,Doctor Mohamad Amin Qaralaq,03-78-0023,297,0.36%
2,Mir Ghulam Nabi,03-78-0041,280,0.34%
31,Mazloma Ahmadi Shakiba Qazi Zada,03-78-0120,277,0.34%
55,Al-Haj Ghulam Murtaza Timuri,03-78-0032,260,0.31%
39,Meya Gul Khalid,03-78-0057,199,0.24%
4,Sayyed Waheedullah Azhar,03-78-0099,142,0.17%
9,Abdul Farid Hassaini,03-78-0117,137,0.17%
