Ballot Order,Candidate Name,Candidate ID,Votes,Percentage of Votes
3,Abdul Khaliq,30-86-0012,12090,35.27%
15,Mohammad Hashem Watanwaal,30-85-0032,6666,19.44%
18,Sona Niloofar,30-85-0039,2332,6.80%
11,Fatima Naeemi,30-85-0047,2127,6.20%
10,Naqeebullah Khan,30-85-0048,1912,5.58%
2,Ghulam Haidar,30-85-0008,1851,5.40%
4,Mohammad Gul,30-85-0015,1807,5.27%
6,Mohammadzada,30-85-0007,1298,3.79%
8,Abdullah Atifi,30-85-0009,996,2.91%
12,Mohammad Nabi,30-85-0006,963,2.81%
7,Abdul Ahad,30-86-0009,773,2.25%
19,Assadullah Mustafa,30-85-0028,338,0.99%
9,Shair Jan Mazdooryar,30-85-0045,315,0.92%
14,Mohammad Hashem,30-85-0011,265,0.77%
17,Mohammad Nasir Noorzai,30-85-0037,188,0.55%
16,Doctor Abdul Manan Urozghani,30-85-0040,134,0.39%
13,Sahat Mohammad,30-85-0014,123,0.36%
5,Painda Mohammmad,30-85-0030,105,0.31%
