Ballot Order,Candidate Name,Candidate ID,Votes,Percentage of Votes
10,Doctor Mohammad Ibrahim Malikzada,31-23-0025,23051,11.15%
53,Mawlawi Din Mohammad Azami,31-23-0048,17634,8.53%
57,Abdul Qadir Imami Ghuri,31-23-0056,14974,7.24%
51,Qurban,31-23-0052,10440,5.05%
54,Atta Mohammad Dehqanpur,31-23-0060,8955,4.33%
5,Al-Haj Kamaludin Mawdudi,31-23-0018,8675,4.20%
31,Fazal Ahmad,31-23-0074,7350,3.56%
38,Abdul Qayyum Ghafoori,31-23-0046,7174,3.47%
27,Ruqia Nayel,31-23-0042,6925,3.35%
15,Mawlawi Mohammad Shayeq,31-23-0030,6195,3.00%
43,Khir Mohammad Pazhwak Ghuri,31-23-0011,5581,2.70%
16,Doctor Nosh Afarin Shahab Dawlati,31-23-0047,5188,2.51%
36,Mufty Abul Faiz Bashari,31-23-0092,5138,2.49%
56,Abdurrahman Sarwari,31-23-0006,4965,2.40%
55,Abdul Manan Azadmanesh,31-23-0022,4861,2.35%
44,Jan Ali Etemadi,31-23-0034,4672,2.26%
33,Fazalulhaq Nijat,31-23-0012,4163,2.01%
19,Allauddeen Ghuri,31-23-0054,4027,1.95%
11,Shamael Azizi,31-23-0045,3960,1.92%
24,Seema Joinda,31-23-0004,3785,1.83%
26,Nadir Shah,31-23-0111,3557,1.72%
23,Abdul Qadeer,31-23-0040,3523,1.70%
41,Al-Haj Mohammad Muhsin,31-23-0002,3499,1.69%
42,Sayyad Abdul Azim Faazil Hussaini,31-23-0072,3302,1.60%
22,Masuma Anwari,31-23-0010,2885,1.40%
28,Mohammad Basir,31-23-0026,2241,1.08%
30,Ghayasuddeen Anwari,31-23-0032,2179,1.05%
20,Sayyad Mohammad Rafiq Nadem,31-23-0008,1954,0.95%
35,Abdul Qudoos,31-23-0015,1770,0.86%
39,Abdul Ghafoor Wakilzada,31-23-0059,1425,0.69%
25,Abul Khair Hakimi,31-23-0024,1421,0.69%
6,Haji Ghulam Farooq,31-23-0041,1374,0.66%
12,Mohammad Rasool Teewaragi,31-23-0005,1333,0.64%
18,Sayyad Yaqut Shah Habili,31-23-0039,1265,0.61%
13,Haji Nik Mohammad Hakimyar,31-23-0106,1183,0.57%
50,Mohammad Sadiqi,31-23-0021,1124,0.54%
52,Khadem Hussain Karbalayee,31-23-0080,1119,0.54%
37,Dost Mohammad,31-23-0028,1104,0.53%
47,Amanullah Akhlaqi,31-23-0062,1091,0.53%
45,Abdul Aziz Saghari,31-23-0003,1081,0.52%
34,Allah Yar Ustawar,31-23-0031,1080,0.52%
58,Shasawaar Ghamdida,31-23-0007,1056,0.51%
1,Qurban Ali Fekrat,31-23-0033,942,0.46%
2,Gulam Ali Beg,31-23-0049,907,0.44%
8,Qandi Gul,31-23-0016,853,0.41%
32,Mohammad Naeem Boya,31-23-0051,790,0.38%
48,Marzia,31-23-0064,722,0.35%
3,Ali Alami Kirmani,31-23-0063,614,0.30%
14,Haji Abdul Baqi Jami,31-23-0105,586,0.28%
21,Al-Haj Abdul Hai,31-23-0055,485,0.23%
40,Haji Abdul Satar,31-23-0035,464,0.22%
29,Haji Habibullah,31-23-0066,442,0.21%
4,Rajab Ali Danish,31-23-0084,436,0.21%
49,Haidar Mashal,31-23-0070,344,0.17%
9,Ahmad Hussain,31-23-0073,333,0.16%
17,Khandija Alawi,31-23-0094,275,0.13%
46,Mohammad Sadiq Yusoufi,31-23-0014,211,0.10%
