Ballot Order,Candidate Name,Candidate ID,Votes,Percentage of Votes
38,Ustad Mohammad Akbari,32-13-0024,24475,20.08%
54,Sayyad Mohammad Jamal Fakori Behishti,32-13-0044,12767,10.48%
50,Mohammad Sarwar Jawadi,32-13-0059,7742,6.35%
6,Ali Mohammadi,32-13-0022,7561,6.20%
4,Abdurrahman Shahidani,32-13-0070,5191,4.26%
2,Haji Farutan,32-13-0027,4786,3.93%
47,Mohammad Sadiq Ali Yaar,32-13-0125,4109,3.37%
16,Al-Haj Humayoon Sadaat,32-13-0021,3301,2.71%
30,Mohammad Dawood Akbari,32-13-0057,2888,2.37%
48,Safora Yalkhani,32-13-0092,2864,2.35%
36,Dost Mohammad Khan,32-13-0067,2853,2.34%
43,Modira Suhaila Shafaq,32-13-0040,2805,2.30%
27,Mohammad Hadi Saighani,32-13-0100,2770,2.27%
7,Raesa Fatima Kazimyan,32-13-0129,2612,2.14%
34,Doctor Mohammad Salim Khan Shahi,32-13-0115,2259,1.85%
19,Mohammad Shoaib Khan,32-13-0014,1771,1.45%
35,Haji Gulam Sakhi,32-13-0005,1734,1.42%
24,Sayyad Dawood Misbah,32-13-0009,1656,1.36%
11,Noor Shah Shahkar,32-13-0097,1416,1.16%
52,Mohammad Nabi Tofan,32-13-0106,1387,1.14%
1,Abdul Hameed Habibi,32-13-0018,1245,1.02%
44,Haji Ahmad Naveed,32-13-0033,1204,0.99%
51,Sultan Ahmad Amiri,32-13-0054,1154,0.95%
53,Mohammad Aslam Shiwa,32-13-0064,1153,0.95%
12,Habibullah Bamyani,32-13-0088,1112,0.91%
32,Haider Muhaqiq,32-13-0016,1109,0.91%
10,Safdar Sadiqi,32-13-0035,1074,0.88%
42,Mir Jihaduddeen Mirzada,32-13-0061,1042,0.85%
9,Engineer Mohammad Naazir,32-13-0013,999,0.82%
28,Sayyad Qasim Ali Natiqi,32-13-0042,982,0.81%
13,Abdul Wasi Haazim,32-13-0107,958,0.79%
20,Doctor Marzia Mohammadi,32-13-0079,889,0.73%
5,Abdul Ghafoor Muhibbi,32-13-0072,869,0.71%
21,Puhanmal Mirza Gul Saighani,32-13-0095,846,0.69%
46,Sayyad Reza Elham,32-13-0025,803,0.66%
31,Mawlawi Kamaluddeen Hamid,32-13-0032,774,0.64%
15,Toi Mohammad Tofan,32-13-0096,758,0.62%
22,Mirza Mohammad Murad,32-13-0074,696,0.57%
41,Mohammad Hussain Mominzada,32-13-0036,684,0.56%
14,Doctor Khadija Bahari,32-13-0082,671,0.55%
18,Mohammad Yosouf Ahmadi,32-13-0051,664,0.54%
3,Madar Ali Rezayee,32-13-0121,601,0.49%
29,Doctor Qayyum Farid,32-13-0038,597,0.49%
33,Assadullah Mukhles,32-13-0019,579,0.48%
37,Mahram Ali Faizan,32-13-0094,552,0.45%
45,Ustad Ruqaya Hussaini,32-13-0012,540,0.44%
23,Madar Ali Karimi,32-13-0112,512,0.42%
8,Fazlurrahman Wafa,32-13-0007,492,0.40%
39,Haji Shah Mosa,32-13-0041,429,0.35%
17,Razia Haidari,32-13-0011,318,0.26%
26,Najibullah Saighani,32-13-0104,168,0.14%
49,Mahfuzullah,32-13-0010,166,0.14%
25,Engineer Mohammad Afzal,32-14-0001,158,0.13%
40,Mirza Abdul Wahab,32-13-0066,134,0.11%
