Ballot Order,Candidate Name,Candidate ID,Votes,Percentage of Votes
8,Salih Mohammad Registani,33-75-0024,8881,18.51%
3,Abdul Nasir Ziayee,33-75-0010,7842,16.34%
19,Rahila,33-75-0038,4401,9.17%
1,Bibi Habiba,33-75-0020,2988,6.23%
16,Saadat Mir Zaheer,33-75-0049,2923,6.09%
20,Fida Mohammad,33-75-0015,2681,5.59%
4,Sayyad Ahmad Saeed,33-75-0006,2265,4.72%
7,Mohammad Aziz,33-75-0011,1983,4.13%
11,Ahamad Shah,33-75-0052,1848,3.85%
13,Ghulam Rasool,33-75-0013,1544,3.22%
2,Abdul Rahim,33-75-0004,1528,3.18%
15,Muslima Amani Naib Khel,33-75-0021,1430,2.98%
5,Zuhra Mirzad Panjshiri,33-75-0034,1392,2.90%
14,Sayyad Nasir,33-75-0053,1368,2.85%
6,Sayyad Aalam Hashemi,33-75-0002,1154,2.41%
21,Fazal Rahaman,33-75-0017,1060,2.21%
17,Abdul Malik,33-75-0031,946,1.97%
18,Nisar Ahamed Ihrar,33-75-0003,749,1.56%
10,Mawlawi Sulaiman,33-75-0054,616,1.28%
9,Haji Mohammad Reza Rezayee,33-75-0033,211,0.44%
12,Shirin Aqa Manavi,33-75-0060,169,0.35%
