Ballot Order,Candidate Name,Candidate ID,Votes,Percentage of Votes
10,Abdul Reza Rezaee,04-88-0003,10278,10.43%
41,Ahmad Hassain Sangar Dost,04-88-0011,6500,6.60%
21,Haji Mosa Hotak,04-87-0019,5706,5.79%
15,Sediqa Mubariz,04-88-0020,4763,4.84%
11,Haji Akhtar Mohammad Taheri,04-87-0043,4526,4.59%
58,Shafaee,04-87-0037,4260,4.32%
37,Mohammad Amin Wardak,04-88-0015,3884,3.94%
33,Doctor Roshanak Wardak,04-87-0039,3880,3.94%
34,Engineer Razia Naeemi,04-87-0009,3530,3.58%
60,Doctor Kamin,04-87-0027,2413,2.45%
38,Fatima Noori,04-87-0006,2306,2.34%
51,Abdul Karim Khuram,04-88-0014,2102,2.13%
32,Abdul Rahman,04-87-0031,1962,1.99%
63,Mamor Qutbudin Hematyar,04-87-0040,1943,1.97%
29,Zarghoona Wardak,04-88-0018,1762,1.79%
2,Sayyad Omer Khan,04-87-0024,1747,1.77%
57,Nafisa Naseeb,04-88-0042,1741,1.77%
67,Abdul Qader Tariq,04-88-0008,1654,1.68%
8,Engineer Sayyad Mohammad Baqer Masbah Zada,04-88-0031,1608,1.63%
26,Qumandan Zaitullah Khan,04-87-0038,1607,1.63%
27,Haji Tur Gul,04-88-0037,1498,1.52%
9,Zainullah Alkozai Mir Aqa,04-87-0010,1493,1.52%
50,Shair Takana,04-88-0063,1488,1.51%
61,Fakhri,04-88-0028,1472,1.49%
39,Atta-u-llah,04-87-0002,1470,1.49%
55,Engineer Abdul Khalil Ahmadi,04-87-0056,1436,1.46%
30,Mudeer Zarjan Wardak,04-87-0061,1430,1.45%
59,Sarajudin Wardak,04-87-0026,1283,1.30%
24,Mohammad Ashaq Daqiq,04-87-0011,1214,1.23%
6,Jamila Mujahid,04-88-0040,1156,1.17%
49,Engineer Mirwais Wardak,04-88-0005,1154,1.17%
48,Sayyad Mohammad Hussain Mohqaq Zada,04-87-0032,1102,1.12%
17,Zalmai Karbalaee Hafizullah,04-88-0006,1063,1.08%
1,Rasoli,04-88-0001,1048,1.06%
5,Ahamd Najib Wardak,04-87-0015,959,0.97%
7,Hafizullah Poya,04-88-0022,799,0.81%
43,Al-haj Engineer Mohammad Shahab Hakimi,04-87-0003,728,0.74%
20,Haji Hamayoon,04-87-0044,725,0.74%
31,Haji Awliya Salim,04-88-0012,704,0.71%
40,Asilla Wardak,04-87-0005,703,0.71%
18,Mohammad Amin Omarkhel,04-88-0026,678,0.69%
22,Haji Mohammad Taqi Mobariz,04-87-0018,665,0.68%
35,Sultan Mohammad Mastufi,04-87-0012,586,0.59%
14,Ustad Ghusidin Payman,04-87-0023,555,0.56%
66,Mohammad Usman Kamran,04-87-0034,489,0.50%
16,Mir Mohammad Salman,04-88-0034,449,0.46%
62,Abdul Jamil Chalga Wal,04-87-0014,449,0.46%
13,Abdul Samad Hadaf,04-87-0035,426,0.43%
42,Engineer Gul Amin,04-88-0027,403,0.41%
4,Mullahdad Stanakzai,04-88-0052,362,0.37%
53,Abdul Wali Najib,04-87-0017,317,0.32%
12,Qari Mohmmad Noor Stanakzai,04-87-0051,242,0.25%
69,Abdul Baseer Piyarokhel,04-87-0046,215,0.22%
54,Doctor Sediqullah Akbarzai Wardak,04-87-0025,211,0.21%
64,Momin Khan Stanakzai,04-87-0007,179,0.18%
46,Gul Andama Dina,04-87-0047,157,0.16%
44,Mohammad Azeem Ghazizada,04-87-0033,150,0.15%
47,Nasar Ahmad Mazlomyar,04-88-0053,132,0.13%
25,Mohammad Gul Wardak,04-88-0066,118,0.12%
3,Haji Abdul Wakil,04-87-0066,116,0.12%
23,Mohammad Omer Wardak,04-88-0010,111,0.11%
65,Haji Abdul Hamid,04-88-0009,86,0.09%
52,Al-haj Abdul Ahmad Durani,04-87-0069,69,0.07%
56,Mohammad Ibrahim,04-87-0008,57,0.06%
68,Basmilullah Omar,04-88-0051,53,0.05%
36,Doctor Faridul Haq Suhail,04-87-0049,48,0.05%
28,Engineer Tamim,04-87-0041,38,0.04%
19,Mohammad Rasool,04-87-0059,26,0.03%
45,Rahmatullah Wahidyar,04-88-0054,24,0.02%
