Ballot Order,Candidate Name,Candidate ID,Votes,Percentage of Votes
21,Doctor Fazlullah Mujadedi,05-59-0031,4248,5.77%
54,Doctor Asadullah Hematyar,05-59-0043,4200,5.70%
20,Haji Ali Mohammad,05-60-0004,3534,4.80%
59,Wakil Haji Mohammad Omar Khan Ahmadzai,05-60-0013,3196,4.34%
38,Mohammad Nabi Ahmadzai,05-60-0010,3119,4.24%
43,Engineer Abdul Latif Ahmadzai,05-59-0007,3085,4.19%
7,Qari Sayed Yaqoob,05-60-0025,3040,4.13%
1,Engineer Basheer Ahmad,05-59-0010,2868,3.89%
18,Al-haj Doctor Shakila Hashemi,05-60-0029,2855,3.88%
42,General Atiqullah Lodin,05-59-0019,2465,3.35%
40,Nawab Torab Ahmadzai,05-59-0022,2409,3.27%
6,Haji Abdul Maroof Stanakzai,05-60-0016,2289,3.11%
2,Noor Ziah Charkhi,05-60-0012,2074,2.82%
35,Al-haj Doctor Mir Nasruddeen,05-60-0050,2045,2.78%
57,Haji Shah Mohammad Yousofzai Charkhi,05-60-0018,1966,2.67%
33,Delawar Faizan,05-59-0021,1948,2.65%
60,Alyah Qobad,05-60-0006,1866,2.53%
13,General Wasi Ahmadzai,05-59-0004,1755,2.38%
46,Doctor Abdul Rahman Munsif,05-60-0035,1647,2.24%
4,Ghulam Rasool Qalandari,05-59-0026,1326,1.80%
10,Pohanyar Atiqullah Khoshiwal,05-59-0032,1259,1.71%
11,Doctor Abdul Satar Stanakzai,05-59-0038,1171,1.59%
29,Mohammad Shoaib Nayeb Khail,05-60-0032,1079,1.47%
50,Shair Maqsood Haidari Mawlawi Talib,05-60-0053,1077,1.46%
17,Abdul Azeem,05-60-0028,1016,1.38%
48,Noorul Rahman,05-60-0001,894,1.21%
5,Mohammad Amin,05-60-0005,884,1.20%
56,Najeebah Sayed,05-60-0017,848,1.15%
25,Sayed Haji Enayatullah Hashemi,05-60-0024,827,1.12%
55,Haji Gholam Yahya Payab,05-60-0033,778,1.06%
19,Al-haj Doctor Abdul Qadir Samsor,05-60-0023,772,1.05%
28,Malik Shair Khan Stanakzai,05-59-0017,763,1.04%
3,Sayed Enayatullah Haji Jan Agha,05-59-0041,745,1.01%
49,Mawlawi Hamid Khan,05-59-0056,723,0.98%
44,Zobaidah Stanakzai,05-60-0040,689,0.94%
15,Shanaz Hakimi Momand,05-60-0062,647,0.88%
58,Zar Mohammad Yousofzai,05-60-0031,626,0.85%
12,Mohammad Azim Mutmaen,05-60-0061,565,0.77%
53,Al-haj Mawlawi Qalamuddin,05-59-0008,558,0.76%
24,Malim Tor,05-60-0046,544,0.74%
37,Sahibzadah Mohammad Rafiq Mottaqi,05-60-0034,532,0.72%
47,Nafeesa Baha,05-59-0035,511,0.69%
31,Sohaila,05-59-0037,434,0.59%
36,Diplom Engineer Abdul Rahman Nasiri,05-60-0009,414,0.56%
9,Mohammad Tawoos Qureshi,05-59-0036,406,0.55%
8,Mohammad Qasem,05-59-0024,405,0.55%
27,Abdul Lateef Nisar Stanakzai,05-60-0021,402,0.55%
30,Haji Abdul Rahman Atta,05-59-0044,347,0.47%
26,Doctor Abdul Jalil Hamidi,05-59-0029,300,0.41%
51,Abdul Hadi Amozgar,05-59-0033,268,0.36%
39,Doctor Karima Joyan Yousafzai,05-59-0057,263,0.36%
52,Marghalai Salim,05-60-0026,202,0.27%
16,Agha Jan,05-60-0008,187,0.25%
45,Qazi Mohammad Rafiq Kamal,05-59-0054,155,0.21%
32,Saidah Parween Sadat,05-60-0059,128,0.17%
41,Qazi Asadullah,05-59-0053,73,0.10%
34,Shah Mahmood Popal,05-59-0015,69,0.09%
14,Abdul Sami Hashemi Ahmadzai,05-59-0055,54,0.07%
23,Doctor Zalmai Khan Ahmadzai,05-59-0009,54,0.07%
22,Haji Fazal Rahman,05-59-0050,34,0.05%
