Ballot Order,Candidate Name,Candidate ID,Votes,Percentage of Votes
31,Peer Sayed Ishaq Gailani,07-73-0027,34920,13.28%
3,Wakil Nadar Khan,07-74-0043,25616,9.74%
52,Khalid Farooqi,07-74-0034,20096,7.64%
36,Sayed Hamid Gailani,07-73-0011,18674,7.10%
9,Wakil Haji Mahmood Sulaimankhail,07-74-0020,15873,6.04%
48,Haji Ghulam Nabi,07-73-0075,14453,5.50%
4,Haji Mohammad Ali Jalali,07-74-0017,9632,3.66%
25,Amir Mohammad Mansoori,07-73-0001,9598,3.65%
30,Laal Mir Khan Hamdard,07-73-0014,7997,3.04%
45,Zakim Khan,07-74-0052,7404,2.82%
11,Doctor Mohammad Gul Sulaimankhel,07-73-0089,6076,2.31%
18,Doctor Ezatullah Khan,07-74-0027,5697,2.17%
17,Jagrhan Ahmad Shah,07-74-0014,5650,2.15%
43,Noorza Khan Wazir,07-73-0017,5565,2.12%
32,Al-haj Sardar Amanullah Khan,07-74-0030,4745,1.80%
27,Mawlawi Matiurrahman,07-73-0082,4721,1.80%
37,Wakil Haji Wazir Mohammad Katawazi,07-73-0022,4339,1.65%
2,Wakil Padshah Khan Sharanwal,07-73-0020,4113,1.56%
16,Mohammad Nasir Khaliqyar,07-73-0016,3867,1.47%
7,General Daud Shah Sarawzawal,07-74-0018,3787,1.44%
42,Haji Nadar,07-73-0010,3556,1.35%
19,Pohanmal Al-Haj Mohammad Naeem Wazir,07-73-0072,3396,1.29%
53,Gharghashta Katawazi Sulaimankhel,07-73-0024,3104,1.18%
51,Najya Saeed,07-74-0016,3093,1.18%
12,Wakil Adam Khan Katawazi,07-74-0002,2943,1.12%
59,Qazi Abdul Shukoor,07-74-0023,2779,1.06%
1,Haji Mohammad Zahir Wafa,07-73-0063,2498,0.95%
26,Engineer Janan Sulaiman,07-73-0049,2296,0.87%
49,Sakhi Jan,07-73-0044,2105,0.80%
20,Dagarwal Haji Sahibjan Katawazai,07-73-0002,2095,0.80%
39,Mawlawi Ghazi Mohammad,07-74-0056,1962,0.75%
6,Wakil Naik Mohammad,07-74-0007,1647,0.63%
24,Ajab Khan Sulaimankhail,07-74-0031,1639,0.62%
41,Mohammad Naeem Zadran,07-74-0041,1610,0.61%
10,Abdul Salam Zalmay,07-74-0067,1434,0.55%
40,Nadar Shah Faqirzada,07-74-0042,1375,0.52%
21,Mazhar Khan,07-73-0007,1365,0.52%
50,Mohammad Akram Malim,07-74-0060,1204,0.46%
44,Sayer Khan Kaliwal,07-73-0009,1203,0.46%
46,Lawanginah Zadran,07-73-0074,1118,0.43%
14,Mohammad Rasool Katawazi,07-74-0050,1099,0.42%
57,Noor Mohammad Mianiwaal,07-73-0006,806,0.31%
8,Haji Akram Khan,07-74-0055,768,0.29%
55,Ustad Bustan Waziri,07-74-0079,660,0.25%
62,Haji Gul,07-73-0069,654,0.25%
58,Abdul Manan Harar,07-73-0083,547,0.21%
22,Doctor Khadija Nawab,07-73-0038,506,0.19%
33,Abdul Rahman,07-74-0058,457,0.17%
38,Raz Mohammad Zadran,07-74-0059,376,0.14%
61,Mawlawi Mohammad Omar Farooqi,07-74-0061,357,0.14%
56,Zaher Shah Agha,07-74-0022,306,0.12%
35,Haji Zafar,07-73-0064,300,0.11%
29,Mohammad Shah,07-74-0066,230,0.09%
60,Haji Abdul Rashid Khadim,07-74-0047,166,0.06%
34,Ghulam Sarwar,07-73-0054,141,0.05%
5,Mawlawi Mohammad Yaqoob,07-73-0090,108,0.04%
15,Abdul Ghafar Faizi Zadran,07-73-0056,76,0.03%
23,Asil Khan,07-73-0029,61,0.02%
54,Nazar Gul,07-73-0087,51,0.02%
13,Mawlawi Malim Ghulam Nabi,07-74-0068,36,0.01%
47,Haji Taj Mohammad,07-74-0076,36,0.01%
