Ballot Order,Candidate Name,Candidate ID,Votes,Percentage of Votes
77,Mohammad Dawood Zazai,08-71-0005,17622,7.12%
41,Gul Badshah Majidi,08-71-0046,13207,5.34%
39,Haji Padshah Khan Zadran,08-71-0004,11523,4.66%
9,Fazlurrahman Samkanai,08-71-0051,10152,4.10%
33,Haji Zangi Khan Zadran,08-71-0084,9658,3.90%
74,Sharifa Zormati,08-72-0031,9646,3.90%
29,Doctor Mohammad Karim Baz Mangal,08-72-0016,8947,3.62%
63,Abdul Hakim Munib,08-72-0034,8784,3.55%
2,Shah Wali Mangal,08-72-0041,8493,3.43%
66,Haji Tamiz Khan Mahmoodzai,08-71-0010,8367,3.38%
40,Samin Akbari,08-71-0015,8346,3.37%
37,Janat Khan Mangal,08-71-0003,7916,3.20%
46,Doctor Gul Mohammaduddeen Mangal,08-71-0026,6702,2.71%
79,Rayees Mohammada Jan,08-71-0017,6664,2.69%
60,Pohandoy Nasimgul Totakhail,08-71-0022,5295,2.14%
26,Mohammad Omar,08-72-0037,4067,1.64%
7,Haji Masto Khan,08-72-0019,4014,1.62%
67,Doctor Mahbobulhaq Akbarzai,08-71-0085,3726,1.51%
18,Nik Mohammad Mangal,08-72-0067,3719,1.50%
68,Abdurrahman Nazari,08-71-0090,3675,1.49%
1,Engineer Agha Mohammad,08-72-0074,3637,1.47%
6,Gogar Mangal,08-71-0065,3517,1.42%
20,Khyaluddeen Aryubi,08-71-0012,3471,1.40%
43,Haji Abdurrahman Noori,08-72-0008,3450,1.39%
71,Doctor Nisar Ahmadzai,08-71-0059,3086,1.25%
12,Mohammad Nadar Qalandar,08-71-0009,3072,1.24%
36,Wakil Abdurrahman Mangal,08-71-0048,2905,1.17%
81,Saranwal Mohammad Rahim Paktiawal,08-71-0041,2774,1.12%
69,Haji Raees Watan Pal,08-72-0017,2555,1.03%
19,Sulaimankhail,08-72-0045,2480,1.00%
30,Doctor Mohammad Akram Khpalwak,08-72-0042,2468,1.00%
61,Haji Azimullah Khan,08-71-0071,2320,0.94%
42,Mamur Spar,08-71-0031,2301,0.93%
44,Mohammad Wali Mujahid,08-71-0052,2209,0.89%
55,Haji Amanullah Khan Ahmadzai,08-71-0001,2190,0.89%
80,Haji Nooruddeen,08-72-0053,2163,0.87%
25,Doctor Wali Mohammad,08-71-0078,2045,0.83%
5,Mahmood Khan,08-71-0050,1975,0.80%
84,Noor Mohammad,08-72-0020,1920,0.78%
15,Noor Ahmad Reshtawal,08-72-0072,1907,0.77%
14,Haji Khakee Jan,08-71-0016,1704,0.69%
16,Haji Mirza Mohammad Zormati,08-71-0043,1642,0.66%
47,Lal Mohammad Ahmadzai,08-71-0013,1617,0.65%
45,Halima Khazaan,08-71-0025,1525,0.62%
22,Abdul Wali Sahi,08-72-0013,1452,0.59%
48,Khair Mohammad Khandan,08-71-0002,1366,0.55%
82,Mudeer Azizullah,08-72-0009,1319,0.53%
83,Haji Mohammad Yaseen Mangal,08-72-0012,1315,0.53%
76,Doctor Shair Mohammad,08-72-0065,1297,0.52%
8,Nafisa Reshteen,08-72-0010,1267,0.51%
54,Shahideen,08-72-0079,1166,0.47%
78,Doctor Nazdana,08-72-0028,1098,0.44%
23,Doctor Saadat Amiri,08-71-0057,1049,0.42%
64,Jumadar Muqbel,08-72-0057,1048,0.42%
27,Hakim Jan Faryadi,08-72-0080,1036,0.42%
86,Dost Mohammad Khan,08-72-0066,988,0.40%
73,Mohammad Ibrahim Gul,08-71-0039,963,0.39%
57,Ustad Ahmad Jan,08-72-0002,885,0.36%
70,Farooq Dawar,08-71-0023,809,0.33%
58,Rahmatullah Noori,08-72-0044,792,0.32%
75,Khyal Mohammad,08-71-0044,788,0.32%
24,Haji Aminullah Zazai,08-71-0033,783,0.32%
52,Haji Mohammad Samin,08-72-0051,759,0.31%
17,Al-haj Doctor Ghulam Sakhi Faizi,08-71-0049,675,0.27%
53,Zadran,08-71-0020,669,0.27%
13,Haji Ghazi Qoranmal,08-72-0026,549,0.22%
85,Mohammad Ibrahim,08-71-0082,547,0.22%
10,Sayed Mohammad Mal,08-72-0015,512,0.21%
38,Ustad Mohammad Hassan,08-72-0036,482,0.19%
62,Gulab Gul Mangal,08-71-0088,433,0.18%
11,Alim Khan,08-71-0079,397,0.16%
32,Etefaq Ahmad Nik,08-72-0073,393,0.16%
3,Al-haj Mohammad Sharif,08-72-0047,370,0.15%
50,Rayees Noor Ali Samkanai,08-71-0008,360,0.15%
31,Moeen Gul,08-71-0062,347,0.14%
72,Kheyal Gul Shari Mangal,08-71-0073,315,0.13%
4,Pohandoy Mohammad Naeem Ahmadzai,08-72-0025,298,0.12%
51,Habiburrahman,08-72-0063,279,0.11%
59,Hamidullah Rudwal,08-72-0007,259,0.10%
28,Ahmad Shah Paktiawal,08-71-0019,218,0.09%
34,Abdul Ghafoor Rawan,08-72-0046,204,0.08%
49,Sabit Noor Sabit,08-72-0043,163,0.07%
56,Mohammad Hassan Ferozkhail,08-71-0081,130,0.05%
65,Mirwais Danish,08-71-0069,99,0.04%
21,Rozuldin Ahmadzai,08-72-0071,89,0.04%
