Ballot Order,Candidate Name,Candidate ID,Votes,Percentage of Votes
73,Sayed Mohammad Gulabzoy,09-49-0053,15423,8.33%
5,Haji Amir Khan,09-49-0075,9603,5.19%
34,Leyaqatullah Babakarkhail,09-49-0080,9138,4.94%
21,Mawlawi Hanif Shah al-Hussaini,09-49-0088,8498,4.59%
45,Al-haj Bismillah Gul,09-50-0004,7686,4.15%
24,Mohammad Taher Khan Sabari,09-49-0106,5473,2.96%
20,Mirzaman Sabari,09-49-0011,5414,2.92%
18,Haji Dirkhel Mangal,09-50-0003,5251,2.84%
30,Haji Ali Akbar,09-49-0001,5106,2.76%
69,AkbarJan Nekzad,09-49-0071,5082,2.74%
47,Captan,09-49-0010,4899,2.65%
25,Islam Gul,09-49-0070,3883,2.10%
44,Sahira Sharif,09-49-0005,3701,2.00%
54,Zarim Jawid,09-49-0126,3549,1.92%
10,Mohammad Qasem Jan Haidari,09-49-0091,3527,1.91%
27,Dagarman Mohammad Qayoom Jabarkhel,09-49-0034,3394,1.83%
66,Nawrooz Khan Osooli,09-49-0054,3157,1.71%
41,Mukhtaruddeen Wakil Saheb,09-50-0063,3037,1.64%
3,Qabool Khan,09-49-0029,2927,1.58%
67,Shahzada Zadran,09-49-0064,2926,1.58%
46,Rahmatullah Jan,09-49-0035,2798,1.51%
15,Haji Mirza Ali Khan Zadran,09-50-0006,2740,1.48%
16,Ghulam Nabi Mangal,09-49-0021,2693,1.45%
75,Najibullah Rahimi,09-49-0068,2537,1.37%
52,Doctor Jamal Saadat,09-50-0060,2495,1.35%
55,Haidargul Mangal,09-50-0008,2470,1.33%
74,Rasool Mohammad,09-49-0109,2439,1.32%
72,Haji Zakim Shah,09-50-0022,2236,1.21%
12,Shahla Stanakzai,09-49-0149,2047,1.11%
91,Ustad Mohammad Esa Ahingar,09-50-0018,1850,1.00%
37,Pohanyar Amir Shah Melgarai Babakarkhail,09-49-0081,1807,0.98%
49,Gharanai Babrakzai Zadran,09-50-0036,1789,0.97%
76,Abdul Qudoos,09-50-0029,1743,0.94%
2,Mohammad Akbar Wrek Delpori,09-49-0115,1677,0.91%
38,Zahid Shah Angar,09-49-0047,1658,0.90%
11,Zabith Sayyadurrahman,09-50-0066,1628,0.88%
35,Abdul Khaliq Sarwary,09-49-0107,1527,0.82%
17,Haji Amanullah,09-49-0090,1441,0.78%
81,Haji Naeem Jan Ismaelkhail,09-49-0072,1439,0.78%
84,Haji Mirza Khan Mangal,09-49-0100,1315,0.71%
62,Shair Ali Khan Lakan,09-49-0066,1287,0.70%
88,Al-haj Ghafaruddeen,09-50-0011,1287,0.70%
71,Mohammad Esmael Khan,09-49-0017,1280,0.69%
58,Abdul Ghafar Mangal,09-49-0043,1266,0.68%
63,Fazal Jan Jahish,09-49-0038,1250,0.68%
23,Bakhmal Jan,09-49-0046,1230,0.66%
33,Gulalai Rezwan,09-49-0002,1204,0.65%
90,Lahor Khan,09-49-0063,1150,0.62%
89,Haji Rahmat Gul,09-50-0002,1131,0.61%
22,Mahir Khan,09-49-0015,1061,0.57%
13,Shair Khosti,09-50-0037,979,0.53%
59,Haji Mir Sardar Zadran,09-50-0032,979,0.53%
50,Mirangul Taniwal,09-49-0065,963,0.52%
42,Khazan Gul,09-49-0113,945,0.51%
8,Haji Mirdel,09-49-0083,921,0.50%
77,Alwat Khan,09-50-0046,910,0.49%
43,Malalai,09-50-0001,908,0.49%
57,Doctor Osman,09-49-0024,888,0.48%
39,Ghazi Nawaz Tanai,09-49-0037,887,0.48%
65,Al-haj Noor Jahana Khosti,09-50-0051,868,0.47%
78,Mahbooba Saadat Esmaeli,09-49-0014,828,0.45%
53,Pohand Ustad Mirdad,09-49-0006,798,0.43%
83,Haji Ghafar Noorzai,09-49-0045,793,0.43%
9,Doctor Bakht Jamal Mangal,09-49-0018,716,0.39%
87,Khaki Jan Khaksar,09-49-0148,693,0.37%
14,Mena Babrakzai,09-49-0008,637,0.34%
48,Haji Lahor Khan Lakanwal,09-49-0030,618,0.33%
61,Doctor Farida,09-49-0117,609,0.33%
82,Badshah Subhan Malaszoy,09-50-0039,588,0.32%
4,Hasanzai Hasanyar Mangal,09-49-0032,537,0.29%
6,Tarin Khan,09-49-0013,521,0.28%
32,Mohammad Alam Khan,09-49-0042,520,0.28%
85,Nazarddin Mangal,09-49-0130,520,0.28%
79,Al-haj Rasool Badshah Tanai,09-49-0095,475,0.26%
56,Haji Ghafarullah Khan,09-49-0122,432,0.23%
51,Haji Zafar Khan,09-49-0036,338,0.18%
1,Faizullah Faizi,09-49-0120,304,0.16%
36,Haji Faizurrahman Muslim,09-49-0137,268,0.14%
29,Kamela Akbari,09-49-0009,219,0.12%
86,Amir Shah Kargar,09-50-0013,203,0.11%
31,Alef Gul Shamalzai,09-49-0051,194,0.10%
60,Asil Khan Saadiqi,09-50-0070,140,0.08%
19,Ghafoor Jan Pashtoonyar,09-49-0152,135,0.07%
80,Saheb Gul Mangal Mayoob,09-49-0012,134,0.07%
28,Haji Khan,09-49-0125,110,0.06%
40,Bismillah Gurbuz,09-50-0057,106,0.06%
68,Esmatullah Neyawal,09-49-0039,85,0.05%
64,Saadiqa,09-49-0049,70,0.04%
26,Mohammad Hamayoon Fatkhi,09-49-0059,65,0.04%
70,Haji Munawar Khan,09-49-0023,48,0.03%
7,Mohammad Masoom,09-49-0020,41,0.02%
