id,gender,party,name,name_dari,ballotNumber,incumbent,electedPreliminary,electedFinal
962,M,independent,Sultan Ahmad Telayee Shir Jan,سلطان احمد طلایی   شیر جان,76,0,0,0
30003,F,independent,Arian Yoon,آرین یون,59,1,1,1
30007,F,independent,Saima Khugiani,سایمه خوگیاڼۍ,49,1,1,1
41835,M,Political party, Nadir Fahimi,نادر فهیمی,15,0,0,0
42267,M,independent,Bismillah Amiri,بسم الله امیری,43,0,0,0
43568,F,independent,Khanum Rezayee,خانم رضایی,7,0,0,0
50289,M,independent,Sultan Aziz Qurbani,سلطان عزیز قربانی,26,0,0,0
51131,M,independent, Rahmat Gull Shenwari,رحمت گل,67,0,0,0
55335,M,independent,Eng. Gull Agha Hussaini Sahibzada,انجینیر ګل آغا حسنی صاحبزاده,8,0,0,0
56004,M,independent,Mawlawi  Muhammad Ibrahim alik,مولوی محمد ابراهیم   سالک,38,0,0,0
61031,M,independent,Maulawi Rahim Gull Tawhed Yaar,مولوی رحیم گل توحید یار,138,0,0,0
72918,M,independent,Sher Zaman Zaland,شیرزمان ځلاند,13,0,0,0
77628,M,independent,Hajji Dost Muhammad Jalalzai,حاجی  دوست محمد جلالزی,66,0,0,0
81415,M,independent,Hayatullah Habib,حیات الله حبیب,465,0,0,0
82558,M,independent, Alhaj Mawlawi Najeebullah Abadi,الحاج مولوی نجیب الله  عبادی,88,0,0,0
86234,M,independent, Alhaj General Abdul Qadar Hazara,الحاج جنرال عبدالقادر هزاره,87,0,0,0
91209,F,independent, Dr. Dil Jan Farhat,داکتر دل جان   فرحت,77,0,0,0
98512,F,independent,Najiya,ناجیه,12,0,1,1
98517,M,Political party, Sayed Ishaq Gailani,سید اسحق گیلانی,22,1,0,1
105559,M,independent,Alhaj Mawlawi Lutfullah Azizi,الحاج مولوی لطف الله عزیزی,58,0,0,0
113794,M,independent,Asmatullah Muslim,عصمت الله مسلم,27,0,0,0
124221,M,independent, Qari Muhammad Nazeef,قاری محمد نظیف,65,0,0,0
130151,M,independent,Ain‐ud‐Din Rustaqi,عین الدین  رستاقی,74,0,0,0
138048,F,independent, Rabia Dashti,رابعه   دشتی,63,0,0,0
138080,F,independent,Alhaj Ustad Najya Aymaq,الحاج استاد ناجیه ایماق,51,1,1,1
138357,F,independent,Fahima Farhat,فهیمه فرحت,21,0,0,0
141013,F,independent, Muzhgan Arqbeki,مژگان عرضبیگی,64,0,0,0
147411,M,independent,Alhaj Amam Qul Sabir,,17,0,0,0
149553,M,independent,Alhaj Abdul Momin Omar Khil,الحاج عبدالمومن عمر خیل,86,0,0,0
180981,M,independent,Muhammad Azim Mosawi,محمد عظیم موسوی,18,0,0,0
200072,M,independent,Hajji Muhammad Aziz Omarzai,حاجی محمد عزیز عمرزی,28,0,0,0
206822,M,independent,Mualim Abdul Ahad,معلم عبدالاحد,9,0,0,0
206932,M,independent,Hajji Muhammad Rangeen Mushkwani,حاجی محمد رنگین مشکوانی,21,0,0,0
210401,M,independent,Hajji Mualim Ghulam Sakhi,حاجی معلم غلام سخی,23,0,0,0
210404,M,independent,Ahmad Shah Burhani,احمد شاه برهانی,7,0,0,0
210405,M,independent, Habibullah Milatyar,حبیب الله ملتیار,18,0,0,0
236522,M,independent,Amir Muhammad Zeiayee,امیر محمد  ضیائی,20,0,0,0
249839,M,independent,Maulawi Muhammad Zia Rohani,مولوی محمد ضیاء روحانی,5,0,0,0
260953,M,independent,Malek Ahmad Nikzad,ملک احمد نیکزاد,75,0,0,0
262715,M,independent, Abdul Hadi Faizi,عبدالهادی فیضی,70,0,0,0
268339,M,independent,Sadiqi Zada Neli,صادقی زاده نیلی,33,1,1,1
272931,M,independent,Muhibullah,محب الله,20,0,0,0
276121,M,independent,Muhammad Nawed Saied,محمد نوید سعد,6,0,0,0
287780,M,independent, Dr. Muhammad Yusuf Osmani,داکتر محمد یوسف  عثمانی,89,0,0,0
291829,M,independent,Ghaibullah Dastyar,غیب الله دستیار,86,0,0,0
295901,M,independent,Alhaj Maulawi Enayatullah Sharifi,الحاج مولوی عنایت الله شریفی,7,0,0,0
298402,F,independent,Wagma Sapai,وږمه ساپۍ,18,0,1,1
301816,M,independent, Maulawi Rahman Nahwi,مولوی رحمن نحوی,71,0,0,0
307007,F,independent,Masooma Yaqeen,معصومه یقین,66,0,0,0
309230,F,independent,Fariha Batar Beg,فریحه باتر بیک,7,0,0,0
319599,F,independent,Nadira Nahrain Wal Kohdamani,,25,0,0,0
324779,F,independent,Asifa Saba,آصفه صبا,27,0,0,0
327004,F,independent,Hajji Mahbooba Sadiq,حاجی محبوبه صادق,33,0,0,0
327089,F,independent,Masooma Mirzayee,معصومه میرزائی,23,0,0,0
346616,M,independent,Muhammad Asif Barnayar,محمد آصف برنایار,656,0,0,0
347502,F,independent,Salima Kamal-u-din,سلیمه کمال الدین,39,0,0,0
371753,M,independent, Maulawi Abdul Hay Hayrat,مولوی عبدالحی حیرت,16,0,0,0
373308,M,independent,Alhaj Zeib Noor,الحاج زیب نور,3,0,0,0
383007,F,independent,Dr. Aqila Sharaf,داکتر عاقله شرف,12,0,0,0
388970,M,independent,Said-u-Rahman Sabwoon,سید الرحمن سباوون,9,0,0,0
394740,M,independent,Ustad Abdullah Sharar,استاد عبدالله شرر,32,0,0,0
396260,M,independent,Mualim Asadullah Asad,معلم اسدالله اسد,33,0,0,0
402713,M,independent,Hajji Najeebullah,حاجی نجیب الله,15,0,0,0
404296,M,independent,Sayed Hadi Balkhi,سید هادی  بلخی,51,0,0,0
409175,M,independent,Sayed Abdul Salam Nahzat,سید عبدالسلام نزهت,71,0,0,0
428258,M,independent,Khuwaja Shireen,خواجه شیرین,9,0,0,0
435250,M,independent,Khuwaja Sediq Ahmad Osmani,خواجه صدیق احمد عثمانی,53,1,1,1
444151,M,independent, Maulawi Najeebullah Rohani,مولوی نجیب الله روحانی,44,0,0,0
449994,M,independent,Hajji Abdul Rasool Talash,حاجی عبدالرسول تلاش,56,0,0,0
455021,F,independent,Tayeba Yusufi,طیبه یوسفی,13,0,0,0
456906,M,independent,Abdullah Qari Baba,عبدالله قاری بابا,148,0,0,0
476427,M,independent,Saranwal Abdul Satar Khawasi,‌ْ‎ًٌٍځارنوال عبدالستار خواصی,5,1,0,1
481251,M,independent, Alhaj Muhammad-u-din Ghorbandi,الحاج محمد الدین غوربندی,46,0,0,0
484040,F,independent, Roshna Khalid,,48,0,0,0
501226,M,independent,Dr. Muhibullah Katawazai,دوکتور محب الله کټوازی,41,0,0,0
507305,M,independent,Diploma Eng. Alhaj Sayed Muhibullah Gailani,دیپلوم انجنیرالحاج سید محب الله گیلانی,3,0,0,0
514951,F,independent,Masuda Omari,مسعوده عمری,21,0,0,0
524005,M,independent, Amir Abdul Wahid Faqir Zada,امیر عبدالواحد   فقیر زاده,33,0,1,1
524007,M,independent,Alhaj Abdul Mutalib Bek,الحاج عبدالمطلب بیک,57,0,1,1
524303,M,independent,Mudeer Taaj-u-Din Dawar,مدیر تاج الدین  داور,27,0,0,0
525313,M,independent,Sayed Qutb-u-Din Sayed,سید قطب الدین  سید,20,0,0,0
526625,M,independent,Atta Muhammad,عطا محمد,5,0,0,0
527196,F,independent,Fatima Masood,فاطمه مسعود,25,0,0,0
552736,M,independent,Hajji Abdullah Khan (Sherzad) Hotak,,5,0,0,0
554708,F,independent,Qazi Rahila Salim,قاضی راحله سلیم,8,1,1,1
569849,M,independent,Hajji Asadullah Qarabaghi,حاجی اسد الله  قره باغی,540,0,0,0
573205,M,independent,Hajji Abdul Halim Andar,حاجی عبدالحلیم اندړ,6,0,0,0
574944,F,independent,Humaira Muhammadi,حمیرا محمدی,190,0,0,0
576539,M,independent,Puhanduie Ali Hussain Nadam,پو هندوی علی حسین ندام,344,0,0,0
579407,M,independent,Sayed Namatullah Naiemi,سید نعمت الله  نعیمی,55,0,0,0
593069,F,independent,Zainab Haibat,زینب هیبت,58,0,0,0
602069,M,independent,Salih Muhammad Zamani,صالح محمد زمانی,452,0,0,0
602367,F,independent, Farzana Shansib Ahmadi,فرزانه شنسب احمدی,35,0,0,0
610537,F,independent,Hamida Amiri,حمیده  امیری,237,0,0,0
618568,M,independent,Abdullah Nariwal,عبدالله نړیوال,653,0,0,0
620226,M,independent,Abdul Jamil Oryakhil,عبدالجمیل اوریا خیل,201,0,0,0
627234,M,independent, Hafizullah Barikzai,حفیظ اله  بارکزی,359,0,0,0
629642,M,independent,Alhaj Ghulam Muhammad Faiez,الحاج غلام محمد فایز,424,0,0,0
630791,M,independent,Muhammad Zahir Abasi,محمد ظاهر عباسی,253,0,0,0
636657,M,independent, Eng. Sayed Hussain Mosawi,انجینر سید حسن موسوی,529,0,0,0
637520,M,independent, Hajji Sakhidad Ghafil,حاجی سخیداد غافل,528,0,0,0
638178,M,independent, Hajji Sultan Jan Khaksar,حاجی سلطان جان  خاکسار,26,0,0,0
638911,M,independent,Saranwal  uhammad Nadir,څارنوال محمد نادر حقو قمل,29,0,0,0
639759,M,independent,Ghulam Yahya Lashkar,غلام یحی لشکر,14,0,0,0
642212,M,independent,Eng. Zafar Khan,انجینر ظفر خان,21,0,0,0
644616,M,independent, Wasi Farman,واسع فرمان,408,0,0,0
660019,M,independent, Sayed Maqbool Omari,سید مقبول عمری,290,0,0,0
660038,M,independent,Alhaj Noorullah Noor,الحاج نور اله نور,271,0,0,0
660112,M,independent,Fazal Kareem Aymaq,فضل کریم ایماق,35,1,0,0
660167,M,independent,Alhaj Baidar Zazai,الحاج بیدار ځاځی,343,1,0,0
663112,M,independent,Eng. Ghulam Ali Munir,انجینرغلام علی منیر,525,0,0,0
