421province,alternateNames,district,Code
Badakhshan,"Arghanj Khwah, Arghanjkhwa.",Arghanj Khwah,1703
Badakhshan,"Argo, Orgu.",Argo,1702
Badakhshan,"Baharak, Bahorak.  (There is also a Baharak district in Takhar.)",Baharak,1706
Badakhshan,"Darayim, Darayem, Darah Aim.",Darayim,1707
Badakhshan,"Darwaz-e-Bala, Upper Darwaz, Mamai, Mam May.  (Several sources mistakenly reverse Mamai, the center of Darwaz-e-Bala, with Nesay, the center of Darwaz-e-Payin.)",Darwaz-e-Bala,1727
Badakhshan,"Darwaz-e-Payin, Darwas-e Pa'in, Nesay, Nesai, Lower Darwaz.  (Several sources mistakenly reverse Mamai, the center of Darwaz-e-Bala, with Nesay, the center of Darwaz-e-Payin.)",Darwaz-e-Payin,1722
Badakhshan,"Eshkashim, Ishkashem.  (Eshkashim is sometimes confused with Eshkamish district of Takhar.)",Eshkashim,1723
Badakhshan,"Faiz Abad, Fayzabad.  (There is also a Faizabad district in Jowzjan.)",Faiz Abad,1701
Badakhshan,"Jurm, Jorm, Juram.",Jurm,1710
Badakhshan,Khash.,Khash,1705
Badakhshan,Khwahan.,Khwahan,1720
Badakhshan,"Kiran Wa Menjan, Kirn wa Manjan, Koran o Monjan.",Kiran Wa Menjan,1726
Badakhshan,"Kishim, Keshem, Keshm.",Kishim,1715
Badakhshan,"Kohistan, Kohestiani.  (There is also a Kohistan in Faryab, a Hissa-e-Awali Kohistan in Kapisa, a Hissa-e Duome Kohistan in Kapisa, and a Kohistanat in Saripul.)",Kohistan,1708
Badakhshan,"Kufab, Kofab, Kuf Ab.",Kufab,1721
Badakhshan,"Raghistan, Ragh.  (There is also a Registan in Kandahar.)",Raghistan,1714
Badakhshan,"Shahri Buzurg, Shahr-e-Buzorg, Shahr-e Buzurg, Shar-e-Buzurg.",Shahri Buzurg,1713
Badakhshan,Shighnan.,Shighnan,1719
Badakhshan,"Shiki, Shaki, Shakai.",Shiki,1724
Badakhshan,"Shuhada, Shohada.",Shuhada,1712
Badakhshan,"Tagab, Tagau.",Tagab,1717
Badakhshan,"Tashkan, Teshkan.",Tashkan,1711
Badakhshan,Wakhan.,Wakhan,1728
Badakhshan,"Wardooj, Warduj.",Wardooj,1716
Badakhshan,"Yaftal-e-Sufla, Yaftal Payin, Yaftal-i-Paen, Lower Yaftal.",Yaftal-e-Sufla,1704
Badakhshan,"Yamgan, Girwan, Yumgan,.",Yamgan,1718
Badakhshan,Yawan.,Yawan,1709
Badakhshan,"Zebak, Zibak.",Zebak,1725
Badghis,"Ab Kamari, Ab-e Kamari, Abkamari.",Ab Kamari,3102
