id,name,provId,geoId,provName,421province,alternateNames,district,Code
101,Kabul,1,101,Kabul,Kabul,"Kabul.  (Char Dehi, a separate district in 325 district set, was absorbed into the Kabul district in the 1990's.)",Kabul,101
105,Deh Sabz,1,102,Kabul,Baghlan,"Deh Salah, Dehsalah, Deh-e Salah.",Deh Salah,908
106,Shakardara,1,103,Kabul,Farah,"Anar Dara, Anardara.",Anar Dara,3307
102,Paghman,1,104,Kabul,Kabul,Paghman.,Paghman,102
103,Chahar Asyab,1,105,Kabul,Kabul,"Chahar Asyab, Chaharasyab, Char Asyab, Char Asiab.",Chahar Asyab,103
107,Musayi,1,106,Kabul,,,,
104,Bagrami,1,107,Kabul,Kabul,"Bagrami.  (There is also a Bagram in Parwan. The airfield is in Baghram of Parwan, not Baghrami.)",Bagrami,104
114,Qarabagh,1,108,Kabul,Ghazni,"Qara Bagh, Qarabagh, Qarah Bagh.  (There is also a Qara Bagh district of Kabul.)",Qara Bagh,1111
110,Kalakan,1,109,Kabul,Kabul,Kalakan.,Kalakan,110
108,Mir Bacha Kot,1,110,Kabul,Kabul,"Mir Bacha Kot, Mirbachakot.",Mir Bacha Kot,108
111,Guldara,1,111,Kabul,Kabul,"Guldara, Gul Dara, Gul Darah, Guldra.",Guldara,111
109,Khak-e- Jabbar,1,112,Kabul,Kabul,"Khak-e-Jabar, Khak-i-Jabar, Khak Jabar, Khaki Jabbar.",Khak-e-Jabar,109
115,Surobi,1,113,Kabul,,,,
113,Estalef,1,114,Kabul,Kabul,"Estalef, Estalif, Istalif, Istalef.",Estalef,113
112,Farza,1,115,Kabul,Jowzjan,Darzab.,Darzab,2811
201,Mahmud-e- Raqi,2,201,Kapisa,,,,
205,Nejrab,2,202,Kapisa,,,,
203,Koh Band,2,203,Kapisa,Kapisa,"Koh Band, Kohband.",Koh Band,203
202,Hisa Duwum-e- Kohestan,2,204,Kapisa,Kapisa,"Hissa-e-Duwumi Kohistan, Hisah-e Dowum-e Kohistan, Kohistan-I-Duwum.  (There is also a Hissa-e-Awali Kohistan in Kapisa, a Kohistan in Badakhshan, another Kohistan in Faryab, and a Kohistanat in Saripul.)",Hissa-e-Duwumi Kohistan,202
206,Tagab,2,205,Kapisa,Badakhshan,"Tagab, Tagau.",Tagab,1717
207,Alasay,2,206,Kapisa,Kapisa,"Alasai, Ala Say, Alasay.",Alasai,207
204,Hesa Awal-e- Kohestan,2,207,Kapisa,,,,
301,Chaharikar,3,301,Parwan,Kunduz,"Chahar Darah, Chardarah, Chardara.",Chahar Darah,1902
305,Jabalussaraj,3,302,Parwan,Parwan,"Jabulussaraj, Jabal Saraj, Jablas Saraj, Jabal us Saraj.",Jabulussaraj,305
303,Shinwari,3,303,Parwan,Nangarhar,"Shinwar, Ghanikhel, Ghani Kahil.  (There is also a Ghani Khel (aka  Qarghayee) district in Laghman.)",Shinwar,616
302,Bagram,3,304,Parwan,Kabul,"Bagrami.  (There is also a Bagram in Parwan. The airfield is in Baghram of Parwan, not Baghrami.)",Bagrami,104
304,Sayd Khel,3,305,Parwan,Parwan,"Sayyid Khel, Saydkhel. There is also a Sayyad district in Sar-e-Pul, a Sayyid Karam in Paktia, and a Sayyid Abad district in Wardak.",Sayyid Khel,304
306,Salang,3,306,Parwan,Parwan,Salang.,Salang,306
307,Syah Gerd,3,307,Parwan,,,,
308,Koh-e- Safi,3,308,Parwan,Parwan,"Koh-e-Safi, Koh Safi.",Koh-e-Safi,308
310,Shekh  Ali,3,309,Parwan,Parwan,"Shaykh Ali, Sheikh Ali, Shekhali, Shaykh 'Ali.",Shaykh Ali,310
309,Surkhe Parsa,3,310,Parwan,Parwan,"Surkh Parsa, Surkhi Parsa, Surkh-e-Parsa, Surkhe Parsa, Surkh-o Parsa, Lolinge, Lowlenge.",Surkhi Parsa,309
401,Maydan Shahr,4,401,Wardak,Wardak,"Maidan Shahr, Maydan Shahr, Maydanshahr.",Maidan Shahr,401
403,Jalrez,4,402,Wardak,Wardak,"Jalrez, Jalrayz.",Jalrez,403
