alternateNames,district,Code
"Arghanj Khwah, Arghanjkhwa.",Arghanj Khwah,1703
"Argo, Orgu.",Argo,1702
"Baharak, Bahorak.  (There is also a Baharak district in Takhar.)",Baharak,1706
"Darayim, Darayem, Darah Aim.",Darayim,1707
"Darwaz-e-Bala, Upper Darwaz, Mamai, Mam May.  (Several sources mistakenly reverse Mamai, the center of Darwaz-e-Bala, with Nesay, the center of Darwaz-e-Payin.)",Darwaz-e-Bala,1727
"Darwaz-e-Payin, Darwas-e Pa'in, Nesay, Nesai, Lower Darwaz.  (Several sources mistakenly reverse Mamai, the center of Darwaz-e-Bala, with Nesay, the center of Darwaz-e-Payin.)",Darwaz-e-Payin,1722
"Eshkashim, Ishkashem.  (Eshkashim is sometimes confused with Eshkamish district of Takhar.)",Eshkashim,1723
"Faiz Abad, Fayzabad.  (There is also a Faizabad district in Jowzjan.)",Faiz Abad,1701
"Jurm, Jorm, Juram.",Jurm,1710
Khash.,Khash,1705
Khwahan.,Khwahan,1720
"Kiran Wa Menjan, Kirn wa Manjan, Koran o Monjan.",Kiran Wa Menjan,1726
"Kishim, Keshem, Keshm.",Kishim,1715
"Kohistan, Kohestiani.  (There is also a Kohistan in Faryab, a Hissa-e-Awali Kohistan in Kapisa, a Hissa-e Duome Kohistan in Kapisa, and a Kohistanat in Saripul.)",Kohistan,1708
"Kufab, Kofab, Kuf Ab.",Kufab,1721
"Raghistan, Ragh.  (There is also a Registan in Kandahar.)",Raghistan,1714
"Shahri Buzurg, Shahr-e-Buzorg, Shahr-e Buzurg, Shar-e-Buzurg.",Shahri Buzurg,1713
Shighnan.,Shighnan,1719
"Shiki, Shaki, Shakai.",Shiki,1724
"Shuhada, Shohada.",Shuhada,1712
"Tagab, Tagau.",Tagab,1717
"Tashkan, Teshkan.",Tashkan,1711
Wakhan.,Wakhan,1728
"Wardooj, Warduj.",Wardooj,1716
"Yaftal-e-Sufla, Yaftal Payin, Yaftal-i-Paen, Lower Yaftal.",Yaftal-e-Sufla,1704
"Yamgan, Girwan, Yumgan,.",Yamgan,1718
Yawan.,Yawan,1709
"Zebak, Zibak.",Zebak,1725
"Ab Kamari, Ab-e Kamari, Abkamari.",Ab Kamari,3102
"Ghormach, Ghormuch.  (All of the district sets presented here list Ghormach in Badghis.  The IDLG, along with many news sources, report it as part of Faryab.) ",Ghormach,3107
"Jawand, Jwand.",Jawand,3106
"Muqur, Moqur, Moqor.  (There is also a Moqur district in Ghazni.)",Muqur,3103
"Murghab, Bala Murghab, Balamerghab.",Murghab,3105
Qadis.  (Some consider Dara-e Bom to be a district.  It is included in Qadis here.),Qadis,3104
"Qala-i-Now, Qala-e-Naw, Qal'ah-ye Now.",Qala-i-Now,3101
"Andarab, Bano Andarab.",Andarab,0907
"Baghlan-e-Jadeed, Baghlani Markazi, Baghlan Markazi.  (There was once a ""Baghlan"" district.  It is now part of what all of these sets report as Baghlan-e-Jadeed.)",Baghlan-e-Jadeed,0905
"Burka, Barka.",Burka,0910
"Dahana-e-Ghuri, Dahanah-ye Ghori, Dahana-e-Ghori, Dand-e Ghor.",Dahana-e-Ghuri,0902
"Deh Salah, Dehsalah, Deh-e Salah.",Deh Salah,0908
"Dushi, Doshi.",Dushi,0903
"Firing Wa Gharu, Fereng Wa Gharu, Farang wa Gharu, Farang.",Firing Wa Gharu,0915
"Gozargah-e-Noor, Guzargah-e- Nur.",Gozargah-e-Noor,0914
"Khinjan, Khenjan.",Khinjan,0906
