id,name,provId,geoId,provName,alternateNames,district,Code
101,Kabul,1,,Kabul,"Kabul.  (Char Dehi, a separate district in 325 district set, was absorbed into the Kabul district in the 1990's.)",Kabul,101
102,Dih Sabz,1,,Kabul,"DehSabz, Deh-e Sabz, Deh Sabz, Dih Sabz.",DehSabz,105
103,Mir Bacha Kot,1,,Kabul,"Mir Bacha Kot, Mirbachakot.",Mir Bacha Kot,108
104,Kalakan,1,,Kabul,Kalakan.,Kalakan,110
105,Qarabagh,1,,Kabul,"Qara Bagh, Qarabagh, Qarah Bagh.  (There is also a Qara Bagh district of Kabul.)",Qara Bagh,1111
106,Istalif,1,,Kabul,"Gulistan, Gulestan.",Gulistan,3310
107,Shakardara,1,,Kabul,"Anar Dara, Anardara.",Anar Dara,3307
108,Paghman,1,,Kabul,Paghman.,Paghman,102
109,Chahar Asyab,1,,Kabul,"Chahar Asyab, Chaharasyab, Char Asyab, Char Asiab.",Chahar Asyab,103
110,Bagrami,1,,Kabul,"Bagrami.  (There is also a Bagram in Parwan. The airfield is in Baghram of Parwan, not Baghrami.)",Bagrami,104
111,Khaki Jabbar,1,,Kabul,"Khak-e-Jabar, Khak-i-Jabar, Khak Jabar, Khaki Jabbar.",Khak-e-Jabar,109
112,Surobi,1,,Kabul,,,
113,Guldara,1,,Kabul,"Guldara, Gul Dara, Gul Darah, Guldra.",Guldara,111
114,Musayi,1,,Kabul,,,
115,Farza,1,,Kabul,Darzab.,Darzab,2811
201,Mahmudi Raqi,2,,Kapisa,,,
202,Hisa-i-Awali Kohistan,2,,Kapisa,"Hissa-e-Awali Kohistan, Hisah-e Awal-e Kohistan, Kohistan Awal, Kohistani Awal.  (There is also a Hissa-e-Duwumi Kohistan in Kapisa, a Kohistan in Badakhshan, another Kohistan in Faryab, and Kohistanat in Saripul.)",Hissa-e-Awali Kohistan,204
203,Koh Band,2,,Kapisa,"Koh Band, Kohband.",Koh Band,203
204,Nijrab,2,,Kapisa,"Nijrab, Nejrab.",Nijrab,205
205,Tagab,2,,Kapisa,"Tagab, Tagau.",Tagab,1717
206,,2,,Kapisa,"Arghanj Khwah, Arghanjkhwa.",Arghanj Khwah,1703
207,Hisa-i-Duwumi Kohistan,2,,Kapisa,"Hissa-e-Duwumi Kohistan, Hisah-e Dowum-e Kohistan, Kohistan-I-Duwum.  (There is also a Hissa-e-Awali Kohistan in Kapisa, a Kohistan in Badakhshan, another Kohistan in Faryab, and a Kohistanat in Saripul.)",Hissa-e-Duwumi Kohistan,202
301,Chaharikar,3,,Parwan,"Chahar Darah, Chardarah, Chardara.",Chahar Darah,1902
302,Jabalussaraj,3,,Parwan,"Jabulussaraj, Jabal Saraj, Jablas Saraj, Jabal us Saraj.",Jabulussaraj,305
303,Salang,3,,Parwan,Salang.,Salang,306
304,Shinwari,3,,Parwan,"Shinwar, Ghanikhel, Ghani Kahil.  (There is also a Ghani Khel (aka  Qarghayee) district in Laghman.)",Shinwar,616
305,Sia Gird ( Ghorbund),3,,Parwan,"Sia Gird, Siagird, Ghorband.",Sia Gird,307
306,Shekh  Ali,3,,Parwan,"Shaykh Ali, Sheikh Ali, Shekhali, Shaykh 'Ali.",Shaykh Ali,310
307,Surkhi Parsa,3,,Parwan,"Surkh Parsa, Surkhi Parsa, Surkh-e-Parsa, Surkhe Parsa, Surkh-o Parsa, Lolinge, Lowlenge.",Surkhi Parsa,309
308,Bagram,3,,Parwan,"Bagrami.  (There is also a Bagram in Parwan. The airfield is in Baghram of Parwan, not Baghrami.)",Bagrami,104
309,Kohi Safi,3,,Parwan,"Koh-e-Safi, Koh Safi.",Koh-e-Safi,308
310,Sayd Khel,3,,Parwan,"Sayyid Khel, Saydkhel. There is also a Sayyad district in Sar-e-Pul, a Sayyid Karam in Paktia, and a Sayyid Abad district in Wardak.",Sayyid Khel,304
401,Maydan Shahr,4,,Wardak,"Maidan Shahr, Maydan Shahr, Maydanshahr.",Maidan Shahr,401
402,Jalrez,4,,Wardak,"Jalrez, Jalrayz.",Jalrez,403
403,Hisa-I- Awali Bihsud,4,,Wardak,,,
404,Markazi Bihsud,4,,Wardak,"Markaz-e-Behsud, Markaz-i-Bihsud.  (There is also a Hisa-e-Awal-e-Behsud district in Wardak, and a Behsud district in Nangarhar.)",Markaz-e-Behsud,409
405,Day Mirdad,4,,Wardak,"Daimirdad, Daymirdad, Day Mirdad.",Daimirdad,406
406,Chaki Wardak,4,,Wardak,"Chak-e-Wardak, Chak-i-Wardad, Chak.",Chak-e-Wardak,404
407,Saydabad,4,,Wardak,"Asad Abad, Asadabad.",Asad Abad,1501
408,Nirkh,4,,Wardak,,,
409,Jaghatu,4,,Wardak,"Jaghatu, Jaghato, Jighatu, Bahrami Shahid, Bahram-e Shahid, Waeez Shahid, Wais Shahid.  (There is also a Jaghatu in Wardak province.)",Jaghatu,1106
501,Puli Alam,5,,Logar,"Puli Alam, Pul-e-Alam, Pul-i-Alam.",Puli Alam,501
502,Charkh,5,,Logar,"Char Kent, Charkent, Charkint, Chahar Kent, Char Kant.",Char Kent,2104
503,Baraki Barak,5,,Logar,"Baraki Barak, Barakibarak, Barak-e-Barak.",Baraki Barak,502
504,Khoshi,5,,Logar,"Khost, Matun.",Khost,1401
505,Mohammad Agha,5,,Logar,"Mohammad Agha, Mohammadagha.",Mohammad Agha,505
506,Azra,5,,Logar,Azra.,Azra,507
507,Kharwar,5,,Logar,Kharwar.,Kharwar,506
601,Jalalabad,6,,Nangerhar,"Jalalabad, Djalalabad.",Jalalabad,601
602,Surkh Rod,6,,Nangerhar,"Surkh Rud, Surkhrud, Surkh Rod, Surkhrod, Sorkh Roud.",Surkh Rud,603
603,Hesarak,6,,Nangerhar,"Hesarak, Hisarak, Hesarak Ghaljai.",Hesarak,621
604,Shirzad,6,,Nangerhar,"Sher Zad, Sherzad, Shir Zad, Shirzad.",Sher Zad,619
605,Khogyani,6,,Nangerhar,"Khugyani, Khogiani, Khoghiani, Wali Muhammad Shahid, Wali Muhammad-e-Shahid .  (There is also a Khugyani in Nangarhar.)",Khugyani,1102
